name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
Jalen Lecque,IND,2021,1.7,0.7,1.3,.000,.333,3.0,3
Cassius Stanley,IND,2021,1.1,0.0,0.4,.500,.200,2.9,8
James Harden,BRK,2021,24.1,11.9,7.4,.389,.536,41.0,7
Kevin Durant,BRK,2021,30.5,5.5,7.5,.444,.552,36.7,15
Kyrie Irving,BRK,2021,27.9,5.8,4.8,.422,.578,35.7,12
Joe Harris,BRK,2021,14.0,2.0,4.0,.473,.549,31.5,20
Caris LeVert,BRK,2021,18.5,6.0,4.3,.349,.474,27.8,12
Jarrett Allen,BRK,2021,11.2,1.7,10.4,,.677,26.7,12
Jeff Green,BRK,2021,8.2,1.3,3.6,.459,.696,25.0,20
Spencer Dinwiddie,BRK,2021,6.7,3.0,4.3,.286,.444,21.3,3
DeAndre Jordan,BRK,2021,6.3,1.7,6.8,,.828,20.5,19
Timothé Luwawu-Cabarrot,BRK,2021,7.2,1.2,2.0,.341,.438,19.4,20
Taurean Prince,BRK,2021,8.1,0.6,2.8,.351,.459,18.2,12
Landry Shamet,BRK,2021,5.0,1.1,1.5,.286,.421,17.4,16
Bruce Brown,BRK,2021,5.7,0.8,4.1,.188,.661,16.3,16
Chris Chiozza,BRK,2021,4.1,2.7,1.1,.267,.273,12.1,7
Reggie Perry,BRK,2021,3.3,0.8,3.3,.125,.457,10.1,12
Tyler Johnson,BRK,2021,1.8,1.4,0.4,.600,.000,6.4,5
Rodions Kurucs,BRK,2021,0.6,0.4,0.6,.500,.000,3.2,5
Jayson Tatum,BOS,2021,26.5,3.8,6.8,.427,.494,34.3,12
Jaylen Brown,BOS,2021,27.1,3.5,5.6,.441,.558,32.8,17
Marcus Smart,BOS,2021,13.6,6.0,2.8,.322,.468,32.7,16
Kemba Walker,BOS,2021,16.4,4.2,2.6,.333,.514,24.2,5
Tristan Thompson,BOS,2021,6.2,0.7,8.6,.000,.458,22.7,15
Daniel Theis,BOS,2021,9.4,1.2,4.9,.355,.753,22.5,17
Payton Pritchard,BOS,2021,7.7,2.6,2.4,.425,.545,20.9,14
Jeff Teague,BOS,2021,5.9,2.3,2.0,.417,.284,18.2,15
Semi Ojeleye,BOS,2021,5.6,0.7,3.0,.370,.500,18.1,16
Grant Williams,BOS,2021,4.7,0.7,3.1,.414,.424,17.4,15
Javonte Green,BOS,2021,5.6,0.7,3.4,.200,.667,17.2,10
Robert Williams,BOS,2021,5.9,0.7,6.1,.000,.738,15.3,12
Aaron Nesmith,BOS,2021,4.1,0.5,1.8,.333,.375,13.4,8
Tacko Fall,BOS,2021,3.0,0.0,3.8,,.625,10.5,4
Tremont Waters,BOS,2021,2.8,2.8,0.8,.375,.222,10.2,6
Carsen Edwards,BOS,2021,5.3,0.4,1.1,.308,.611,9.1,7
Isaac Okoro,CLE,2021,8.5,2.1,2.4,.297,.467,36.1,13
Collin Sexton,CLE,2021,25.2,4.2,2.7,.472,.530,34.4,13
Larry Nance,CLE,2021,10.5,3.5,6.3,.421,.575,34.4,16
Darius Garland,CLE,2021,14.3,5.5,2.6,.409,.437,31.7,10
Cedi Osman,CLE,2021,13.4,3.4,3.5,.365,.432,30.4,18
Andre Drummond,CLE,2021,18.9,2.6,14.7,.000,.487,30.2,17
Taurean Prince,CLE,2021,12.6,3.8,4.6,.500,.471,26.0,5
Jarrett Allen,CLE,2021,11.8,0.8,6.0,,.694,25.0,5
Damyean Dotson,CLE,2021,8.3,2.5,1.5,.300,.550,23.2,17
Kevin Love,CLE,2021,9.5,2.5,6.0,.333,.333,23.0,2
Yogi Ferrell,CLE,2021,9.5,2.5,3.5,.333,.417,20.0,2
Dante Exum,CLE,2021,3.8,2.2,2.8,.182,.533,19.3,6
Dylan Windler,CLE,2021,6.4,0.8,2.8,.429,.714,18.2,5
JaVale McGee,CLE,2021,8.2,1.2,5.9,.308,.469,16.5,15
Lamar Stevens,CLE,2021,3.9,0.7,2.0,.143,.467,12.9,10
Dean Wade,CLE,2021,2.1,0.6,1.2,.350,.400,9.9,15
Thon Maker,CLE,2021,3.8,0.5,2.3,.000,.625,9.5,8
Marques Bolden,CLE,2021,1.2,0.0,1.0,,.333,4.8,6
Trae Young,ATL,2021,26.2,8.8,4.2,.352,.443,34.1,17
De'Andre Hunter,ATL,2021,17.9,2.3,5.6,.375,.610,33.4,17
John Collins,ATL,2021,16.7,1.8,7.7,.414,.580,30.9,18
Kevin Huerter,ATL,2021,11.7,3.4,3.7,.384,.462,30.4,18
Clint Capela,ATL,2021,13.7,1.0,14.5,,.557,29.9,15
Cam Reddish,ATL,2021,12.7,1.1,4.8,.297,.450,28.6,14
Bogdan Bogdanović,ATL,2021,9.9,2.1,3.8,.362,.450,23.7,9
Solomon Hill,ATL,2021,4.7,1.0,2.6,.355,.412,19.6,18
Danilo Gallinari,ATL,2021,9.7,0.8,2.0,.412,.667,15.0,6
Rajon Rondo,ATL,2021,3.6,3.9,2.3,.313,.421,14.8,9
Brandon Goodwin,ATL,2021,4.5,2.1,1.3,.250,.417,13.9,16
Onyeka Okongwu,ATL,2021,3.0,0.5,3.5,,.500,12.0,4
Bruno Fernando,ATL,2021,1.6,0.8,4.1,.000,.462,10.2,9
Tony Snell,ATL,2021,1.5,0.5,1.1,.308,.000,8.6,8
Nathan Knight,ATL,2021,2.4,0.1,1.6,.429,.250,5.7,7
Skylar Mays,ATL,2021,0.0,0.3,0.0,.000,.000,2.8,4
Nikola Vučević,ORL,2021,23.6,3.6,10.9,.444,.516,33.3,19
Aaron Gordon,ORL,2021,14.1,4.4,7.4,.359,.482,29.5,17
Evan Fournier,ORL,2021,18.9,3.7,2.1,.391,.590,28.6,10
Terrence Ross,ORL,2021,14.7,1.9,2.8,.354,.460,28.3,18
Markelle Fultz,ORL,2021,12.9,5.4,3.1,.250,.420,26.9,8
Cole Anthony,ORL,2021,10.8,3.5,4.5,.344,.371,26.2,19
Dwayne Bacon,ORL,2021,9.4,0.8,3.0,.275,.459,23.7,19
Michael Carter-Williams,ORL,2021,5.1,1.7,5.1,.083,.438,22.9,7
Khem Birch,ORL,2021,7.1,1.3,6.6,.167,.521,22.3,19
Gary Clark,ORL,2021,3.6,0.8,3.8,.260,.545,20.3,16
James Ennis,ORL,2021,4.8,1.4,2.8,.350,.485,19.6,12
Chuma Okeke,ORL,2021,3.0,1.6,2.6,.286,.429,18.2,5
Jordan Bone,ORL,2021,4.5,1.1,1.9,.320,.684,15.4,11
Karim Mané,ORL,2021,1.2,0.2,1.7,.500,.000,9.3,6
Mohamed Bamba,ORL,2021,4.0,0.4,3.0,.286,.545,7.0,5
Julius Randle,NYK,2021,22.5,6.0,11.3,.356,.502,36.7,19
RJ Barrett,NYK,2021,17.4,3.4,6.8,.280,.470,36.4,19
Mitchell Robinson,NYK,2021,9.1,0.5,8.4,,.658,29.6,19
Elfrid Payton,NYK,2021,12.2,3.8,3.8,.263,.465,28.9,19
Reggie Bullock,NYK,2021,8.3,1.3,4.1,.348,.434,27.6,15
Alec Burks,NYK,2021,15.6,2.3,4.6,.447,.359,27.3,7
Austin Rivers,NYK,2021,9.5,2.4,2.8,.426,.500,25.9,13
Kevin Knox,NYK,2021,6.4,0.8,2.3,.391,.391,18.7,19
Immanuel Quickley,NYK,2021,10.7,2.5,1.9,.345,.403,18.1,15
Nerlens Noel,NYK,2021,3.1,0.5,5.2,.000,.524,16.4,17
Obi Toppin,NYK,2021,4.9,0.7,3.0,.278,.520,12.4,9
Frank Ntilikina,NYK,2021,4.5,0.8,1.0,.556,.200,10.5,4
Dennis Smith,NYK,2021,3.0,1.0,0.7,.000,.333,9.3,3
Jared Harper,NYK,2021,1.0,0.0,0.0,,.000,2.5,2
Theo Pinson,NYK,2021,0.3,0.0,0.1,.000,1.000,2.4,7
Ignas Brazdeikis,NYK,2021,0.5,0.3,0.5,,.000,1.8,4
Zach LaVine,CHI,2021,27.0,5.3,5.2,.397,.592,35.6,17
Coby White,CHI,2021,15.2,5.6,4.9,.358,.437,33.7,17
Lauri Markkanen,CHI,2021,18.5,1.0,6.5,.377,.603,30.4,10
Wendell Carter,CHI,2021,12.8,2.4,8.0,.267,.570,26.9,14
Garrett Temple,CHI,2021,9.6,1.8,2.8,.406,.549,26.6,16
Patrick Williams,CHI,2021,9.4,1.0,4.0,.444,.466,25.4,16
Thaddeus Young,CHI,2021,10.3,3.6,4.8,.235,.655,24.2,13
Otto Porter,CHI,2021,12.6,2.0,6.6,.429,.522,23.5,14
Tomáš Satoranský,CHI,2021,4.8,5.2,1.7,.400,.429,19.2,6
Denzel Valentine,CHI,2021,7.3,1.8,4.1,.396,.385,18.9,13
Daniel Gafford,CHI,2021,5.1,0.5,2.5,,.636,14.4,15
Ryan Arcidiacono,CHI,2021,5.2,2.4,2.4,.462,.286,13.0,5
Chandler Hutchison,CHI,2021,2.6,0.8,3.8,.333,.267,11.8,5
Devon Dotson,CHI,2021,4.0,0.0,1.0,,.500,10.0,1
Luke Kornet,CHI,2021,2.0,0.0,1.0,.000,,7.0,1
Adam Mokoka,CHI,2021,1.8,0.7,0.7,.125,.667,6.8,6
Cristiano Felício,CHI,2021,3.5,1.0,2.5,,.667,6.5,2
Gordon Hayward,CHO,2021,23.6,3.6,5.2,.427,.548,35.4,17
Devonte' Graham,CHO,2021,13.9,6.1,3.3,.342,.333,34.1,18
Terry Rozier,CHO,2021,18.9,2.9,4.0,.421,.508,33.8,18
P.J. Washington,CHO,2021,12.6,2.9,6.7,.292,.496,29.1,18
Bismack Biyombo,CHO,2021,6.7,1.7,6.9,.000,.537,25.8,18
Miles Bridges,CHO,2021,9.5,1.7,5.1,.391,.514,25.6,18
LaMelo Ball,CHO,2021,11.1,5.8,5.9,.308,.472,24.4,18
Cody Zeller,CHO,2021,7.2,1.8,7.0,.000,.609,18.4,5
Caleb Martin,CHO,2021,5.6,1.4,2.6,.242,.583,14.7,16
Cody Martin,CHO,2021,3.5,1.3,2.3,.200,.722,11.4,11
Malik Monk,CHO,2021,4.0,1.6,0.8,.444,.400,10.4,5
Jalen McDaniels,CHO,2021,3.9,0.6,2.1,.333,.579,9.2,9
Nick Richards,CHO,2021,1.3,0.0,1.0,,1.000,3.0,4
Vernon Carey,CHO,2021,1.0,0.3,1.0,.000,.500,2.0,3
Fred VanVleet,TOR,2021,18.9,6.6,4.5,.356,.444,36.2,18
Kyle Lowry,TOR,2021,18.0,6.4,6.2,.379,.488,36.1,15
Pascal Siakam,TOR,2021,18.1,4.6,8.2,.254,.515,35.5,15
OG Anunoby,TOR,2021,14.6,1.6,5.8,.433,.550,34.8,17
Norman Powell,TOR,2021,14.3,1.4,2.4,.406,.450,25.9,18
Chris Boucher,TOR,2021,14.1,1.1,6.4,.449,.598,23.2,18
Aron Baynes,TOR,2021,5.1,0.7,4.9,.237,.510,16.7,15
Stanley Johnson,TOR,2021,3.2,1.9,3.2,.435,.389,16.2,16
Terence Davis,TOR,2021,7.3,1.0,1.5,.400,.545,12.8,13
Yuta Watanabe,TOR,2021,2.6,0.3,3.4,.368,.176,11.3,12
Alex Len,TOR,2021,2.3,0.4,1.6,.500,.500,10.9,7
Malachi Flynn,TOR,2021,2.3,1.5,0.7,.227,.333,9.2,11
Matt Thomas,TOR,2021,3.8,0.6,0.8,.571,.286,7.3,8
DeAndre' Bembry,TOR,2021,1.1,0.7,0.9,.000,.556,5.4,9
Paul Watson,TOR,2021,1.6,0.0,0.7,.750,.500,3.1,7
Jalen Harris,TOR,2021,0.0,0.0,0.5,,,2.0,2
Duncan Robinson,MIA,2021,13.4,1.7,4.1,.404,.556,34.2,18
Tyler Herro,MIA,2021,17.7,3.9,7.0,.288,.552,33.5,11
Bam Adebayo,MIA,2021,20.1,5.6,9.1,.400,.584,32.6,16
Jimmy Butler,MIA,2021,15.8,5.3,5.5,.000,.486,29.0,6
Goran Dragić,MIA,2021,15.9,5.3,2.9,.368,.550,26.9,14
Kelly Olynyk,MIA,2021,9.5,2.5,5.3,.324,.650,26.5,17
Kendrick Nunn,MIA,2021,12.1,2.5,3.0,.310,.570,25.7,13
Avery Bradley,MIA,2021,9.8,1.8,1.8,.455,.542,22.1,8
Gabe Vincent,MIA,2021,9.0,2.3,1.7,.230,.525,21.7,11
Andre Iguodala,MIA,2021,4.8,2.4,3.5,.365,.444,20.4,16
Precious Achiuwa,MIA,2021,7.6,0.9,5.0,,.635,16.2,18
Max Strus,MIA,2021,5.3,0.7,1.3,.333,.857,15.1,9
KZ Okpala,MIA,2021,3.0,0.5,1.8,.389,.455,14.3,11
Maurice Harkless,MIA,2021,1.3,0.6,0.9,.500,.000,10.7,9
Meyers Leonard,MIA,2021,3.3,0.7,2.3,.429,,9.7,3
Chris Silva,MIA,2021,3.8,1.0,3.0,1.000,.625,8.8,6
Jerami Grant,DET,2021,23.8,2.9,6.2,.402,.468,36.1,19
Blake Griffin,DET,2021,13.1,4.1,5.9,.344,.453,32.3,14
Delon Wright,DET,2021,9.1,4.6,4.4,.362,.457,27.3,19
Mason Plumlee,DET,2021,9.2,3.1,8.8,.000,.595,26.7,19
Wayne Ellington,DET,2021,13.4,1.1,2.1,.532,.577,24.2,14
Derrick Rose,DET,2021,14.6,4.4,1.9,.342,.467,23.2,14
Josh Jackson,DET,2021,10.6,1.7,3.0,.274,.495,22.3,17
Killian Hayes,DET,2021,4.6,3.6,1.1,.250,.296,21.1,7
Saddiq Bey,DET,2021,7.6,0.6,3.2,.377,.303,18.5,17
Isaiah Stewart,DET,2021,4.6,0.7,5.5,.000,.451,17.5,17
Sviatoslav Mykhailiuk,DET,2021,6.6,1.3,1.6,.317,.591,14.4,19
Sekou Doumbouya,DET,2021,4.4,0.4,2.4,.333,.375,12.1,18
Saben Lee,DET,2021,2.8,1.2,0.6,.000,.400,10.0,5
Jahlil Okafor,DET,2021,4.5,0.3,2.2,.000,.649,9.8,11
Frank Jackson,DET,2021,1.8,1.2,0.8,.333,.000,5.4,5
Rodney McGruder,DET,2021,1.0,0.0,0.3,.000,1.000,4.7,3
Deividas Sirvydis,DET,2021,0.0,0.0,0.0,.000,,1.0,3
Bradley Beal,WAS,2021,35.4,4.9,5.3,.366,.524,35.9,13
Russell Westbrook,WAS,2021,18.1,10.2,9.7,.300,.398,34.8,9
Rui Hachimura,WAS,2021,13.6,2.3,4.6,.308,.544,27.7,7
Thomas Bryant,WAS,2021,14.3,1.5,6.1,.429,.714,27.1,10
Dāvis Bertāns,WAS,2021,11.8,1.4,3.1,.360,.438,24.0,11
Deni Avdija,WAS,2021,7.0,2.2,4.0,.457,.444,23.2,11
Jerome Robinson,WAS,2021,6.1,1.9,2.6,.296,.440,19.7,9
Ish Smith,WAS,2021,5.9,4.0,3.4,.333,.407,19.3,11
Garrison Mathews,WAS,2021,9.0,0.8,2.3,.429,.462,18.8,8
Robin Lopez,WAS,2021,7.4,1.1,4.2,.429,.655,18.2,14
Troy Brown,WAS,2021,4.6,1.1,3.1,.333,.583,17.6,7
Raul Neto,WAS,2021,8.3,1.6,1.8,.390,.540,17.6,13
Jordan Bell,WAS,2021,3.3,1.7,5.3,.000,.385,16.7,3
Isaac Bonga,WAS,2021,3.3,0.7,2.9,.421,.385,16.5,11
Alex Len,WAS,2021,6.3,2.0,3.7,.333,.857,15.3,3
Moritz Wagner,WAS,2021,6.4,0.8,4.0,.571,.700,13.6,5
Cassius Winston,WAS,2021,2.8,1.5,1.0,.429,.333,10.3,4
Anthony Gill,WAS,2021,1.3,0.4,2.3,.143,.667,8.3,7
Anžejs Pasečņiks,WAS,2021,0.0,1.0,1.0,.000,,6.0,1
Donovan Mitchell,UTA,2021,23.4,4.9,4.4,.395,.461,33.2,17
Royce O'Neale,UTA,2021,8.0,2.3,6.4,.446,.615,32.2,18
Rudy Gobert,UTA,2021,13.4,1.4,14.2,,.602,30.4,18
Bojan Bogdanović,UTA,2021,12.9,2.0,3.7,.365,.368,29.9,18
Mike Conley,UTA,2021,16.6,5.9,3.8,.419,.500,29.9,18
Jordan Clarkson,UTA,2021,17.9,1.9,4.6,.390,.583,25.2,18
Joe Ingles,UTA,2021,10.9,4.0,3.4,.447,.667,24.8,14
Derrick Favors,UTA,2021,5.8,0.9,5.6,,.600,16.1,17
Georges Niang,UTA,2021,4.7,0.5,2.1,.360,.600,11.6,18
Miye Oni,UTA,2021,1.2,0.4,1.6,.333,.000,7.8,13
Juwan Morgan,UTA,2021,0.4,0.3,0.7,.200,,4.7,7
Trent Forrest,UTA,2021,1.0,0.5,0.0,,,4.5,2
Elijah Hughes,UTA,2021,2.7,0.5,0.7,.300,.400,4.5,6
Udoka Azubuike,UTA,2021,1.1,0.0,1.0,,.571,4.2,11
Shaquille Harrison,UTA,2021,1.2,0.5,0.7,.000,.333,3.9,11
Jarrell Brantley,UTA,2021,0.0,0.0,0.3,.000,,3.0,3
Kawhi Leonard,LAC,2021,25.9,5.7,5.4,.419,.536,34.5,15
Paul George,LAC,2021,23.9,5.4,6.2,.484,.523,34.3,16
Nicolas Batum,LAC,2021,10.2,2.6,4.8,.461,.556,29.2,19
Patrick Beverley,LAC,2021,8.1,2.1,4.4,.414,.371,25.6,16
Serge Ibaka,LAC,2021,12.2,1.8,6.8,.380,.566,25.2,18
Luke Kennard,LAC,2021,8.7,1.9,3.0,.423,.516,23.4,19
Marcus Morris,LAC,2021,11.2,0.9,3.9,.435,.391,23.1,10
Lou Williams,LAC,2021,9.4,2.8,2.0,.366,.396,19.8,17
Ivica Zubac,LAC,2021,7.9,0.9,5.9,,.696,18.6,19
Reggie Jackson,LAC,2021,7.7,2.6,2.3,.377,.519,16.5,16
Patrick Patterson,LAC,2021,3.6,0.6,1.4,.300,.500,12.6,7
Terance Mann,LAC,2021,3.1,0.7,2.8,.286,.471,11.1,17
Amir Coffey,LAC,2021,2.0,0.3,0.5,.364,.462,6.3,13
Mfiondu Kabengele,LAC,2021,1.0,0.2,0.6,.222,.200,4.4,11
Daniel Oturu,LAC,2021,2.2,0.4,1.6,.000,.643,4.2,9
LeBron James,LAL,2021,25.5,7.5,7.8,.417,.539,33.1,20
Anthony Davis,LAL,2021,21.9,3.5,8.8,.326,.561,32.8,17
Dennis Schröder,LAL,2021,13.6,4.2,3.7,.303,.457,30.6,20
Montrezl Harrell,LAL,2021,12.8,1.0,6.6,.000,.628,24.3,20
Kyle Kuzma,LAL,2021,10.1,1.0,5.8,.379,.484,24.2,20
Kentavious Caldwell-Pope,LAL,2021,9.9,1.4,2.3,.492,.535,24.1,16
Marc Gasol,LAL,2021,4.0,2.1,4.6,.364,.467,19.5,20
Wesley Matthews,LAL,2021,4.7,1.0,1.1,.364,.538,19.5,17
Alex Caruso,LAL,2021,5.7,2.2,2.3,.543,.364,17.8,15
Talen Horton-Tucker,LAL,2021,7.1,1.7,2.3,.344,.508,15.3,16
Markieff Morris,LAL,2021,4.3,0.9,3.4,.306,.583,14.5,19
Kostas Antetokounmpo,LAL,2021,0.0,0.0,4.0,,.000,8.0,1
Jared Dudley,LAL,2021,0.5,0.2,1.0,1.000,,3.7,6
Quinn Cook,LAL,2021,2.0,0.3,0.3,.444,.444,3.5,12
Alfonzo McKinnie,LAL,2021,1.9,0.0,0.6,.750,.625,3.2,11
Devontae Cacok,LAL,2021,2.0,0.0,0.0,,1.000,2.0,1
Nikola Jokić,DEN,2021,25.2,8.9,11.8,.328,.622,35.5,18
Jamal Murray,DEN,2021,19.0,4.2,3.9,.346,.509,35.0,17
Gary Harris,DEN,2021,10.7,1.8,2.6,.328,.558,31.9,16
Michael Porter,DEN,2021,18.3,1.3,7.1,.471,.646,28.0,8
Will Barton,DEN,2021,10.8,3.0,4.2,.352,.448,27.9,18
Monte Morris,DEN,2021,11.1,3.3,2.3,.344,.602,26.4,18
Paul Millsap,DEN,2021,9.7,1.6,5.2,.396,.566,23.2,18
JaMychal Green,DEN,2021,11.5,1.1,6.7,.463,.440,21.0,14
PJ Dozier,DEN,2021,7.1,1.4,4.1,.405,.509,19.4,17
Facundo Campazzo,DEN,2021,3.6,1.4,0.8,.359,.313,12.3,17
Isaiah Hartenstein,DEN,2021,4.3,0.6,3.3,,.500,9.3,12
Bol Bol,DEN,2021,1.6,0.2,0.8,.333,.444,6.1,9
R.J. Hampton,DEN,2021,0.7,0.0,0.5,.000,.375,3.3,11
Vlatko Čančar,DEN,2021,0.0,0.0,0.7,.000,.000,2.7,6
Zeke Nnaji,DEN,2021,0.9,0.0,0.6,.000,.600,2.6,7
Markus Howard,DEN,2021,1.4,0.4,0.0,.250,.667,1.9,7
DeMar DeRozan,SAS,2021,20.1,6.8,5.3,.355,.492,33.8,16
Keldon Johnson,SAS,2021,14.4,2.2,7.4,.340,.523,31.2,18
Dejounte Murray,SAS,2021,14.4,5.3,7.3,.293,.497,30.8,18
Lonnie Walker,SAS,2021,12.6,1.6,3.2,.386,.450,28.8,18
LaMarcus Aldridge,SAS,2021,14.9,2.0,4.6,.317,.524,27.5,15
Patty Mills,SAS,2021,14.3,2.9,1.7,.410,.553,25.7,18
Derrick White,SAS,2021,9.0,1.0,1.0,.250,.400,23.0,1
Rudy Gay,SAS,2021,11.5,1.4,5.5,.341,.505,22.3,18
Jakob Poeltl,SAS,2021,5.2,1.9,6.3,,.571,19.9,18
Drew Eubanks,SAS,2021,3.0,0.3,4.3,,.231,19.3,3
Devin Vassell,SAS,2021,5.5,1.3,3.6,.400,.317,18.4,17
Trey Lyles,SAS,2021,2.3,0.4,3.4,.200,.545,11.1,9
Tre Jones,SAS,2021,2.3,0.1,0.4,1.000,.556,3.3,7
Luka Šamanić,SAS,2021,1.8,0.0,0.0,.667,.000,2.8,4
Keita Bates-Diop,SAS,2021,0.0,0.3,0.0,,.000,1.7,3
Kyle Anderson,MEM,2021,12.5,4.1,7.2,.333,.477,29.7,13
Brandon Clarke,MEM,2021,13.2,1.8,6.2,.259,.511,29.3,13
Dillon Brooks,MEM,2021,15.2,3.1,3.9,.305,.411,29.2,13
Ja Morant,MEM,2021,22.6,7.0,2.0,.286,.585,29.2,5
Jonas Valančiūnas,MEM,2021,14.4,1.8,10.4,.286,.563,26.8,12
Tyus Jones,MEM,2021,8.4,5.4,2.8,.229,.519,25.8,13
Desmond Bane,MEM,2021,8.6,1.1,2.8,.489,.450,21.9,13
Grayson Allen,MEM,2021,8.0,2.0,2.9,.360,.409,21.5,12
Xavier Tillman,MEM,2021,8.6,1.6,3.9,.200,.638,20.8,8
De'Anthony Melton,MEM,2021,8.1,2.4,2.3,.353,.514,19.9,7
John Konchar,MEM,2021,5.5,2.7,4.0,.375,.500,17.5,6
Gorgui Dieng,MEM,2021,8.1,1.6,4.4,.440,.588,16.8,10
Sean McDermott,MEM,2021,2.3,1.0,1.0,.200,.500,14.0,3
Tim Frazier,MEM,2021,1.3,2.3,1.3,.000,.333,11.0,3
Devin Booker,PHO,2021,22.9,4.1,3.5,.341,.544,35.7,14
Mikal Bridges,PHO,2021,14.9,2.0,5.5,.432,.568,33.2,17
Chris Paul,PHO,2021,14.8,8.5,4.6,.298,.506,32.5,17
Deandre Ayton,PHO,2021,14.2,1.9,12.4,.222,.605,31.5,17
Jae Crowder,PHO,2021,11.0,2.5,5.0,.350,.486,29.1,17
Cameron Johnson,PHO,2021,11.7,1.6,3.4,.363,.646,25.5,17
Dario Šarić,PHO,2021,10.6,1.0,4.6,.357,.533,18.9,7
Abdel Nader,PHO,2021,8.3,1.2,3.0,.429,.481,18.0,6
Cameron Payne,PHO,2021,6.6,3.9,2.2,.379,.512,17.5,13
Jevon Carter,PHO,2021,3.7,0.9,1.6,.277,.524,13.1,17
Frank Kaminsky,PHO,2021,5.1,1.6,3.6,.316,.444,12.6,11
E'Twaun Moore,PHO,2021,1.5,0.8,1.0,.000,.273,11.3,4
Langston Galloway,PHO,2021,4.8,0.6,1.1,.469,.538,9.9,14
Damian Jones,PHO,2021,1.6,0.0,1.8,.000,.600,8.4,5
Jalen Smith,PHO,2021,2.8,0.2,1.6,.400,.444,7.8,5
Ty-Shon Alexander,PHO,2021,0.0,0.3,0.3,.000,.000,2.7,3
