name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
Tobias Harris,PHI,2021,20.1,2.8,6.7,.461,.554,33.8,16
Ben Simmons,PHI,2021,13.0,8.0,8.6,.167,.540,33.0,17
Joel Embiid,PHI,2021,27.7,2.8,11.1,.400,.579,32.0,15
Seth Curry,PHI,2021,14.5,3.0,2.0,.509,.569,28.9,12
Danny Green,PHI,2021,9.4,2.3,3.6,.371,.410,28.5,19
Shake Milton,PHI,2021,14.7,3.2,1.9,.317,.549,25.4,16
Tyrese Maxey,PHI,2021,9.7,1.9,2.3,.293,.515,19.4,19
Mike Scott,PHI,2021,4.9,0.1,2.8,.250,.625,19.1,8
Isaiah Joe,PHI,2021,6.4,1.3,1.6,.370,.333,18.2,10
Dwight Howard,PHI,2021,6.2,0.7,7.7,.429,.600,17.3,19
Furkan Korkmaz,PHI,2021,6.8,0.8,2.0,.333,.333,16.3,8
Dakota Mathias,PHI,2021,6.0,1.6,0.9,.308,.500,15.4,8
Matisse Thybulle,PHI,2021,2.9,0.7,1.3,.235,.500,15.2,16
Tony Bradley,PHI,2021,5.8,0.5,7.0,.000,.552,15.0,6
Paul Reed,PHI,2021,3.6,0.6,2.0,.000,.474,11.0,5
Vincent Poirier,PHI,2021,1.3,0.3,1.0,,.333,4.7,3
Terrance Ferguson,PHI,2021,0.0,0.3,0.2,.000,,3.7,6
Khris Middleton,MIL,2021,21.9,5.8,6.5,.441,.566,33.0,17
Jrue Holiday,MIL,2021,15.5,5.3,4.5,.358,.543,32.8,17
Giannis Antetokounmpo,MIL,2021,26.8,5.6,11.0,.296,.630,32.6,16
Brook Lopez,MIL,2021,10.6,0.7,5.3,.361,.581,27.6,17
Donte DiVincenzo,MIL,2021,9.9,2.6,4.1,.402,.476,25.5,17
Bobby Portis,MIL,2021,10.9,1.1,7.7,.429,.568,22.4,17
D.J. Augustin,MIL,2021,6.1,2.6,1.3,.396,.281,17.9,16
Pat Connaughton,MIL,2021,5.5,1.4,4.0,.422,.421,17.2,14
Bryn Forbes,MIL,2021,7.6,0.4,0.9,.417,.477,16.0,17
D.J. Wilson,MIL,2021,4.3,0.4,2.7,.438,.400,10.1,7
Thanasis Antetokounmpo,MIL,2021,2.6,0.9,1.9,.286,.813,10.0,13
Torrey Craig,MIL,2021,1.5,1.5,2.5,.000,.600,9.8,4
Jordan Nwora,MIL,2021,6.0,0.0,1.9,.500,.500,8.9,8
Sam Merrill,MIL,2021,2.0,1.4,1.3,.667,.000,6.1,7
Jaylen Adams,MIL,2021,0.0,0.0,0.0,.000,,1.0,1
Malcolm Brogdon,IND,2021,22.8,7.1,4.3,.413,.488,36.8,18
Domantas Sabonis,IND,2021,20.4,5.8,12.3,.370,.590,36.7,18
Victor Oladipo,IND,2021,20.0,4.2,5.7,.362,.470,33.3,9
Myles Turner,IND,2021,14.1,1.1,6.8,.338,.636,32.4,16
Justin Holiday,IND,2021,11.2,1.2,4.1,.413,.642,31.0,18
T.J. Warren,IND,2021,15.5,1.3,3.5,.000,.614,29.3,4
Doug McDermott,IND,2021,13.1,1.3,3.8,.368,.620,25.8,18
Jeremy Lamb,IND,2021,14.0,1.4,4.6,.364,.593,24.2,5
T.J. McConnell,IND,2021,4.2,5.7,3.3,.286,.549,20.9,15
Aaron Holiday,IND,2021,6.5,2.1,1.3,.300,.420,20.5,18
Edmond Sumner,IND,2021,5.8,0.7,2.0,.267,.630,13.1,9
Goga Bitadze,IND,2021,4.3,0.5,2.0,.000,.600,9.8,4
JaKarr Sampson,IND,2021,2.5,0.0,2.6,.000,.500,7.4,8
Brian Bowen,IND,2021,3.0,0.0,1.0,,.500,5.0,1
Kelan Martin,IND,2021,1.0,0.0,1.1,.167,.250,4.4,7
