name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
DeMar DeRozan,TOR,2018,23.0,5.2,3.9,.310,.494,33.9,80
Kyle Lowry,TOR,2018,16.2,6.9,5.6,.399,.474,32.2,78
Serge Ibaka,TOR,2018,12.6,0.8,6.3,.360,.559,27.5,76
Jonas Valančiūnas,TOR,2018,12.7,1.1,8.6,.405,.587,22.4,77
Delon Wright,TOR,2018,8.0,2.9,2.9,.366,.520,20.8,69
Pascal Siakam,TOR,2018,7.3,2.0,4.5,.220,.612,20.7,81
OG Anunoby,TOR,2018,5.9,0.7,2.5,.371,.604,20.0,74
Fred VanVleet,TOR,2018,8.6,3.2,2.4,.414,.437,20.0,76
C.J. Miles,TOR,2018,10.0,0.8,2.2,.361,.434,19.1,70
Jakob Poeltl,TOR,2018,6.9,0.7,4.8,.500,.660,18.6,82
Norman Powell,TOR,2018,5.5,1.3,1.7,.285,.516,15.2,70
Lorenzo Brown,TOR,2018,2.3,0.9,1.1,.167,.545,9.9,14
Lucas Nogueira,TOR,2018,2.5,0.4,1.8,.263,.721,8.5,49
Malcolm Miller,TOR,2018,2.5,0.2,1.0,.381,.714,8.4,15
Malachi Richardson,TOR,2018,2.0,0.0,1.0,.000,1.000,5.0,1
Alfonzo McKinnie,TOR,2018,1.5,0.1,0.5,.333,.833,3.8,14
Bruno Caboclo,TOR,2018,0.0,0.5,0.5,.000,,3.5,2
Nigel Hayes,TOR,2018,3.0,0.0,0.0,1.000,,3.0,2
Kyrie Irving,BOS,2018,24.4,5.1,3.8,.408,.541,32.2,60
Al Horford,BOS,2018,12.9,4.7,7.4,.429,.514,31.6,72
Jaylen Brown,BOS,2018,14.5,1.6,4.9,.395,.507,30.7,70
Jayson Tatum,BOS,2018,13.9,1.6,5.0,.434,.492,30.5,80
Marcus Smart,BOS,2018,10.2,4.8,3.5,.301,.429,29.9,54
Marcus Morris,BOS,2018,13.6,1.3,5.4,.368,.467,26.7,54
Terry Rozier,BOS,2018,11.3,2.9,4.7,.381,.410,25.9,80
Greg Monroe,BOS,2018,10.2,2.3,6.3,,.530,19.1,26
Aron Baynes,BOS,2018,6.0,1.1,5.4,.143,.487,18.3,81
Semi Ojeleye,BOS,2018,2.7,0.3,2.2,.320,.397,15.8,73
Daniel Theis,BOS,2018,5.3,0.9,4.3,.310,.617,14.9,63
Shane Larkin,BOS,2018,4.3,1.8,1.7,.360,.398,14.4,54
Abdel Nader,BOS,2018,3.0,0.5,1.5,.354,.321,10.9,48
Jonathan Gibson,BOS,2018,8.5,1.0,0.8,.500,.727,10.0,4
Jabari Bird,BOS,2018,3.0,0.6,1.5,.429,.632,8.8,13
Guerschon Yabusele,BOS,2018,2.4,0.5,1.6,.324,.583,7.1,33
Kadeem Allen,BOS,2018,1.1,0.7,0.6,.000,.545,5.9,18
Gordon Hayward,BOS,2018,2.0,0.0,1.0,.000,1.000,5.0,1
Xavier Silas,BOS,2018,0.0,0.0,1.0,.000,.000,3.5,2
Jarell Eddie,BOS,2018,0.0,0.0,0.5,.000,,3.0,2
Ben Simmons,PHI,2018,15.8,8.2,8.1,.000,.551,33.7,81
Robert Covington,PHI,2018,12.6,2.0,5.4,.369,.497,31.7,80
Joel Embiid,PHI,2018,22.9,3.2,11.0,.308,.527,30.3,63
J.J. Redick,PHI,2018,17.1,3.0,2.5,.420,.504,30.2,70
Dario Šarić,PHI,2018,14.6,2.6,6.7,.393,.501,29.6,78
Marco Belinelli,PHI,2018,13.6,1.6,1.8,.385,.618,26.3,28
Ersan İlyasova,PHI,2018,10.8,1.7,6.7,.361,.488,24.1,23
Jerryd Bayless,PHI,2018,7.9,1.4,2.1,.370,.474,23.7,39
T.J. McConnell,PHI,2018,6.3,4.0,3.0,.435,.510,22.4,76
Markelle Fultz,PHI,2018,7.1,3.8,3.1,.000,.409,18.1,14
Amir Johnson,PHI,2018,4.6,1.6,4.5,.313,.570,15.8,74
Timothé Luwawu-Cabarrot,PHI,2018,5.8,1.0,1.4,.335,.431,15.5,52
Richaun Holmes,PHI,2018,6.5,1.3,4.4,.129,.624,15.5,48
Trevor Booker,PHI,2018,4.7,0.8,3.7,.286,.578,15.0,33
Justin Anderson,PHI,2018,6.2,0.7,2.4,.330,.535,13.7,38
Jahlil Okafor,PHI,2018,5.0,0.5,4.5,,.444,12.5,2
James Young,PHI,2018,2.8,0.3,0.3,.300,.500,10.2,6
Nik Stauskas,PHI,2018,0.7,0.2,0.2,.000,.333,7.5,6
James Michael McAdoo,PHI,2018,2.7,0.0,0.7,.286,,6.0,3
Furkan Korkmaz,PHI,2018,1.6,0.3,0.8,.294,.273,5.7,14
Demetrius Jackson,PHI,2018,2.7,1.3,0.3,1.000,.667,5.7,3
Larry Drew,PHI,2018,0.7,0.7,0.3,.000,.250,5.0,3
Jacob Pullen,PHI,2018,0.7,0.0,0.0,.000,1.000,2.0,3
LeBron James,CLE,2018,27.5,9.1,8.6,.367,.603,36.9,82
J.R. Smith,CLE,2018,8.3,1.8,2.9,.375,.453,28.1,80
Kevin Love,CLE,2018,17.6,1.7,9.3,.415,.494,28.0,59
George Hill,CLE,2018,9.4,2.8,2.7,.351,.509,27.9,24
Isaiah Thomas,CLE,2018,14.7,4.5,2.1,.253,.449,27.1,15
Jae Crowder,CLE,2018,8.6,1.1,3.3,.328,.508,25.4,53
Rodney Hood,CLE,2018,10.8,1.4,2.6,.352,.492,25.3,21
Jeff Green,CLE,2018,10.8,1.3,3.2,.312,.540,23.4,78
