name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
Dwyane Wade,CLE,2018,11.2,3.5,3.9,.329,.479,23.2,46
Jordan Clarkson,CLE,2018,12.6,1.7,2.1,.407,.486,22.6,28
Kyle Korver,CLE,2018,9.2,1.2,2.3,.436,.537,21.6,73
Larry Nance,CLE,2018,8.9,1.0,7.0,.125,.572,20.8,24
Tristan Thompson,CLE,2018,5.8,0.6,6.6,,.562,20.2,53
Iman Shumpert,CLE,2018,4.4,1.2,2.9,.269,.469,19.7,14
Derrick Rose,CLE,2018,9.8,1.6,1.8,.250,.481,19.3,16
José Calderón,CLE,2018,4.5,2.1,1.5,.464,.545,16.0,57
Kendrick Perkins,CLE,2018,3.0,2.0,1.0,,.500,15.0,1
Channing Frye,CLE,2018,4.8,0.6,2.5,.333,.684,12.4,44
Cedi Osman,CLE,2018,3.9,0.7,2.0,.368,.586,11.0,61
John Holland,CLE,2018,2.3,0.2,1.0,.306,.261,7.3,24
Ante Žižić,CLE,2018,3.7,0.2,1.9,,.731,6.7,32
London Perrantes,CLE,2018,0.5,0.4,0.3,.000,.200,4.7,14
Victor Oladipo,IND,2018,23.1,4.3,5.2,.371,.528,34.0,75
Thaddeus Young,IND,2018,11.8,1.9,6.3,.320,.531,32.2,81
Bojan Bogdanović,IND,2018,14.3,1.5,3.4,.402,.534,30.8,80
Darren Collison,IND,2018,12.4,5.3,2.6,.468,.508,29.2,69
Myles Turner,IND,2018,12.7,1.3,6.4,.357,.519,28.2,65
Cory Joseph,IND,2018,7.9,3.2,3.2,.353,.457,27.0,82
Domantas Sabonis,IND,2018,11.6,2.0,7.7,.351,.524,24.5,74
Lance Stephenson,IND,2018,9.2,2.9,5.2,.289,.495,22.6,82
Trevor Booker,IND,2018,5.4,1.0,4.5,.214,.514,15.8,17
Glenn Robinson,IND,2018,4.1,0.7,1.6,.412,.431,14.7,23
Al Jefferson,IND,2018,7.0,0.8,4.0,.000,.541,13.4,36
Joe Young,IND,2018,3.9,0.7,1.2,.379,.458,10.5,53
T.J. Leaf,IND,2018,2.9,0.2,1.5,.429,.489,8.7,53
Damien Wilkins,IND,2018,1.7,0.5,0.8,.222,.429,8.0,19
Ben Moore,IND,2018,0.0,0.5,0.5,,,4.5,2
Alex Poythress,IND,2018,1.0,0.1,0.7,.364,.467,4.2,25
Ike Anigbogu,IND,2018,1.2,0.0,0.8,,.444,2.7,11
Edmond Sumner,IND,2018,2.0,0.0,1.0,,1.000,2.0,1
Trey McKinney-Jones,IND,2018,0.0,0.0,0.0,,,1.0,1
Josh Richardson,MIA,2018,12.9,2.9,3.5,.378,.495,33.2,81
Goran Dragić,MIA,2018,17.3,4.8,4.1,.370,.481,31.7,75
Dion Waiters,MIA,2018,14.3,3.8,2.6,.306,.463,30.6,30
Tyler Johnson,MIA,2018,11.7,2.3,3.4,.367,.491,28.5,72
James Johnson,MIA,2018,10.8,3.8,4.9,.308,.587,26.6,73
Wayne Ellington,MIA,2018,11.2,1.0,2.8,.392,.479,26.5,77
Hassan Whiteside,MIA,2018,14.0,1.0,11.4,1.000,.538,25.3,54
Justise Winslow,MIA,2018,7.8,2.2,5.4,.380,.440,24.7,68
Kelly Olynyk,MIA,2018,11.5,2.7,5.7,.379,.590,23.4,76
Dwyane Wade,MIA,2018,12.0,3.1,3.4,.220,.447,22.2,21
Bam Adebayo,MIA,2018,6.9,1.5,5.5,.000,.523,19.8,69
Rodney McGruder,MIA,2018,5.1,0.9,1.8,.429,.553,16.6,18
Derrick Jones,MIA,2018,3.7,0.4,2.4,.188,.485,15.1,14
Okaro White,MIA,2018,3.3,0.3,1.8,.364,.600,13.3,6
Jordan Mickey,MIA,2018,4.0,0.4,3.5,.125,.561,12.3,23
Luke Babbitt,MIA,2018,2.5,0.4,1.2,.244,.000,11.2,13
Derrick Walton,MIA,2018,1.8,1.0,1.0,.412,.125,9.2,16
Udonis Haslem,MIA,2018,0.6,0.4,0.7,.125,.286,5.1,14
Matt Williams,MIA,2018,1.7,0.0,0.3,.200,1.000,3.7,3
Giannis Antetokounmpo,MIL,2018,26.9,4.8,10.0,.307,.554,36.7,75
Khris Middleton,MIL,2018,20.1,4.0,5.2,.359,.517,36.4,82
Eric Bledsoe,MIL,2018,17.8,5.1,3.9,.349,.550,31.5,71
Malcolm Brogdon,MIL,2018,13.0,3.2,3.3,.385,.532,29.9,48
Tony Snell,MIL,2018,6.9,1.3,1.9,.403,.490,27.4,75
John Henson,MIL,2018,8.8,1.5,6.8,.143,.578,25.9,76
Jabari Parker,MIL,2018,12.6,1.9,4.9,.383,.514,24.0,31
Matthew Dellavedova,MIL,2018,4.3,3.8,1.7,.372,.351,18.7,38
Tyler Zeller,MIL,2018,5.9,0.8,4.6,.000,.602,16.9,24
Thon Maker,MIL,2018,4.8,0.6,3.0,.298,.467,16.7,74
Jason Terry,MIL,2018,3.3,1.2,0.9,.348,.487,16.0,51
Mirza Teletović,MIL,2018,7.1,1.0,2.3,.467,.333,15.9,10
Greg Monroe,MIL,2018,6.8,1.0,5.0,,.485,15.8,5
DeAndre Liggins,MIL,2018,1.8,0.9,1.6,.306,.379,15.5,31
Brandon Jennings,MIL,2018,5.2,3.1,2.2,.273,.462,14.6,14
Sterling Brown,MIL,2018,4.0,0.5,2.6,.352,.439,14.4,54
Shabazz Muhammad,MIL,2018,8.5,0.6,2.8,.375,.576,10.6,11
Sean Kilpatrick,MIL,2018,4.0,0.7,1.1,.283,.500,8.9,23
Gary Payton,MIL,2018,2.5,0.8,1.4,.167,.524,8.8,12
Rashad Vaughn,MIL,2018,2.7,0.5,0.8,.371,.533,7.9,22
Marshall Plumlee,MIL,2018,1.8,0.3,2.1,,.333,6.5,8
Joel Bolomboy,MIL,2018,1.5,0.0,1.7,.000,.600,6.3,6
Xavier Munford,MIL,2018,0.5,0.7,0.2,.000,.250,3.5,6
D.J. Wilson,MIL,2018,1.0,0.1,0.5,.400,.636,3.2,22
Bradley Beal,WAS,2018,22.6,4.5,4.4,.375,.507,36.3,82
John Wall,WAS,2018,19.4,9.6,3.7,.371,.436,34.4,41
Otto Porter,WAS,2018,14.7,2.0,6.4,.441,.537,31.6,77
Kelly Oubre,WAS,2018,11.8,1.2,4.5,.341,.456,27.5,81
Markieff Morris,WAS,2018,11.5,1.9,5.6,.367,.529,27.0,73
Marcin Gortat,WAS,2018,8.4,1.8,7.6,,.518,25.3,82
Tomáš Satoranský,WAS,2018,7.2,3.9,3.2,.465,.544,22.5,73
Mike Scott,WAS,2018,8.8,1.1,3.3,.405,.582,18.5,76
Ramon Sessions,WAS,2018,5.9,3.3,1.3,.400,.388,15.0,15
Ian Mahinmi,WAS,2018,4.8,0.7,4.1,.000,.561,14.9,77
Jodie Meeks,WAS,2018,6.3,0.9,1.6,.343,.464,14.5,77
Tim Frazier,WAS,2018,3.0,3.3,1.9,.304,.440,14.2,59
Devin Robinson,WAS,2018,2.0,0.0,5.0,,.333,13.0,1
Jason Smith,WAS,2018,3.4,0.4,1.6,.125,.494,8.6,33
Chris McCullough,WAS,2018,2.4,0.2,1.3,.125,.500,4.7,19
Andre Drummond,DET,2018,15.0,3.0,16.0,.000,.536,33.7,78
Blake Griffin,DET,2018,19.8,6.2,6.6,.348,.473,33.2,25
Tobias Harris,DET,2018,18.1,2.0,5.1,.409,.478,32.6,48
Avery Bradley,DET,2018,15.0,2.1,2.4,.381,.423,31.7,40
Reggie Bullock,DET,2018,11.3,1.5,2.5,.445,.536,27.9,62
Stanley Johnson,DET,2018,8.7,1.6,3.7,.286,.439,27.4,69
Reggie Jackson,DET,2018,14.6,5.3,2.8,.308,.475,26.7,45
Ish Smith,DET,2018,10.9,4.4,2.7,.347,.506,24.9,82
Anthony Tolliver,DET,2018,8.9,1.1,3.1,.436,.561,22.2,79
James Ennis,DET,2018,7.5,0.8,2.5,.304,.570,20.4,27
Luke Kennard,DET,2018,7.6,1.7,2.4,.415,.463,20.0,73
Jon Leuer,DET,2018,5.4,0.6,4.0,.000,.455,17.0,8
Jameer Nelson,DET,2018,3.7,3.3,1.1,.071,.400,16.6,7
Langston Galloway,DET,2018,6.2,1.0,1.6,.344,.418,14.9,58
Dwight Buycks,DET,2018,7.4,2.0,1.4,.333,.438,14.7,29
Eric Moreland,DET,2018,2.1,1.2,4.1,,.541,12.0,67
Boban Marjanović,DET,2018,6.2,0.7,3.0,,.519,9.0,19
Henry Ellenson,DET,2018,4.0,0.5,2.1,.333,.384,8.7,38
Luis Montero,DET,2018,0.0,0.0,1.0,,.000,4.0,2
Kay Felder,DET,2018,1.0,0.0,2.0,.000,.333,3.0,2
Willie Reed,DET,2018,0.7,0.3,0.3,,1.000,3.0,3
Reggie Hearn,DET,2018,1.0,0.0,0.0,.500,,2.3,3
Kemba Walker,CHO,2018,22.1,5.6,3.1,.384,.469,34.2,80
Nicolas Batum,CHO,2018,11.6,5.5,4.8,.336,.473,31.0,64
Dwight Howard,CHO,2018,16.6,1.3,12.5,.143,.559,30.4,81
Marvin Williams,CHO,2018,9.5,1.2,4.7,.413,.512,25.7,78
Michael Kidd-Gilchrist,CHO,2018,9.2,1.0,4.1,.000,.505,25.0,74
Jeremy Lamb,CHO,2018,12.9,2.3,4.1,.370,.495,24.6,80
Frank Kaminsky,CHO,2018,11.1,1.6,3.6,.380,.459,23.2,79
Cody Zeller,CHO,2018,7.1,0.9,5.4,.667,.542,19.0,33
Treveon Graham,CHO,2018,4.3,0.9,1.9,.412,.452,16.7,63
Michael Carter-Williams,CHO,2018,4.6,2.2,2.7,.237,.365,16.1,52
Malik Monk,CHO,2018,6.7,1.4,1.0,.342,.385,13.6,63
Dwayne Bacon,CHO,2018,3.3,0.7,2.3,.256,.409,13.5,53
Willy Hernangómez,CHO,2018,6.1,0.5,5.3,.571,.500,11.9,22
Johnny O'Bryant,CHO,2018,4.8,0.4,2.6,.326,.422,10.5,36
Julyan Stone,CHO,2018,0.8,1.1,1.3,.462,,7.6,23
Marcus Paige,CHO,2018,2.4,0.6,0.8,.250,.333,5.6,5
Mangok Mathiang,CHO,2018,2.0,0.0,2.5,,.571,5.0,4
Tim Hardaway,NYK,2018,17.5,2.7,3.9,.317,.516,33.1,57
Kristaps Porziņģis,NYK,2018,22.7,1.2,6.6,.395,.454,32.4,48
Courtney Lee,NYK,2018,12.0,2.4,2.9,.406,.482,30.4,76
Enes Kanter,NYK,2018,14.1,1.5,11.0,.000,.594,25.8,71
Jarrett Jack,NYK,2018,7.5,5.6,3.1,.291,.459,25.0,62
Emmanuel Mudiay,NYK,2018,8.8,3.9,2.6,.196,.418,22.4,22
Michael Beasley,NYK,2018,13.2,1.7,5.6,.395,.520,22.3,74
Frank Ntilikina,NYK,2018,5.9,3.2,2.3,.318,.385,21.9,78
Trey Burke,NYK,2018,12.8,4.7,2.0,.362,.556,21.8,36
Doug McDermott,NYK,2018,7.2,0.9,2.4,.387,.513,21.3,55
Lance Thomas,NYK,2018,4.1,0.6,2.4,.403,.364,18.5,73
Kyle O'Quinn,NYK,2018,7.1,2.1,6.1,.235,.599,18.0,77
Troy Williams,NYK,2018,7.5,0.9,3.5,.333,.567,17.1,17
Luke Kornet,NYK,2018,6.7,1.3,3.2,.354,.457,16.3,20
Isaiah Hicks,NYK,2018,4.4,0.9,2.3,.222,.492,13.3,18
Ron Baker,NYK,2018,2.4,1.6,1.0,.333,.346,13.3,29
Ramon Sessions,NYK,2018,3.7,2.1,1.4,.182,.357,12.8,13
Damyean Dotson,NYK,2018,4.1,0.7,1.9,.324,.538,10.8,44
Willy Hernangómez,NYK,2018,4.3,0.8,2.6,.200,.632,9.0,26
Joakim Noah,NYK,2018,1.7,0.6,2.0,,.500,5.7,7
Mindaugas Kuzminskas,NYK,2018,0.0,0.0,0.0,,.000,2.0,1
DeMarre Carroll,BRK,2018,13.5,2.0,6.6,.371,.457,29.9,73
Allen Crabbe,BRK,2018,13.2,1.6,4.3,.378,.461,29.3,75
Spencer Dinwiddie,BRK,2018,12.6,6.6,3.2,.326,.452,28.8,80
Rondae Hollis-Jefferson,BRK,2018,13.9,2.5,6.8,.241,.491,28.2,68
Caris LeVert,BRK,2018,12.1,4.2,3.7,.347,.480,26.3,71
D'Angelo Russell,BRK,2018,15.5,5.2,3.9,.324,.477,25.7,48
Joe Harris,BRK,2018,10.8,1.6,3.3,.419,.589,25.3,78
Jeremy Lin,BRK,2018,18.0,4.0,0.0,.500,.400,25.0,1
Trevor Booker,BRK,2018,10.1,2.1,6.6,.250,.536,21.9,18
Dante Cunningham,BRK,2018,7.5,1.0,4.8,.383,.532,20.3,22
Jarrett Allen,BRK,2018,8.2,0.7,5.4,.333,.599,20.0,72
Quincy Acy,BRK,2018,5.9,0.8,3.7,.349,.384,19.4,70
Tyler Zeller,BRK,2018,7.1,0.7,4.6,.385,.567,16.7,42
Nik Stauskas,BRK,2018,5.1,1.1,1.8,.404,.373,13.7,35
Jahlil Okafor,BRK,2018,6.4,0.4,2.9,.250,.576,12.6,26
Milton Doyle,BRK,2018,3.4,1.0,1.8,.174,.375,12.5,10
James Webb,BRK,2018,1.6,0.4,2.4,.211,.400,12.0,10
Timofey Mozgov,BRK,2018,4.2,0.4,3.2,.222,.640,11.6,31
Sean Kilpatrick,BRK,2018,4.9,0.9,2.2,.256,.318,11.4,16
Isaiah Whitehead,BRK,2018,6.3,1.3,1.6,.389,.485,11.3,16
Jacob Wiley,BRK,2018,0.8,0.4,2.2,.500,.000,6.6,5
Rashad Vaughn,BRK,2018,0.0,1.0,0.0,,,4.0,1
Justin Holiday,CHI,2018,12.2,2.1,4.0,.359,.387,31.5,72
Lauri Markkanen,CHI,2018,15.2,1.2,7.5,.362,.497,29.7,68
Kris Dunn,CHI,2018,13.4,6.0,4.3,.321,.457,29.3,52
Zach LaVine,CHI,2018,16.7,3.0,3.9,.341,.405,27.3,24
Denzel Valentine,CHI,2018,10.2,3.2,5.1,.386,.450,27.2,77
Robin Lopez,CHI,2018,11.8,1.9,4.5,.286,.536,26.4,64
Nikola Mirotić,CHI,2018,16.8,1.6,6.4,.429,.525,24.9,25
Sean Kilpatrick,CHI,2018,15.4,1.4,2.8,.396,.475,23.8,9
David Nwaba,CHI,2018,7.9,1.5,4.7,.346,.496,23.5,70
Cameron Payne,CHI,2018,8.8,4.5,2.8,.385,.419,23.3,25
Jerian Grant,CHI,2018,8.4,4.6,2.3,.326,.468,22.8,74
Bobby Portis,CHI,2018,13.2,1.7,6.8,.359,.514,22.5,73
Noah Vonleh,CHI,2018,6.9,1.0,6.9,.300,.500,19.0,21
Cristiano Felício,CHI,2018,5.6,1.0,4.2,.000,.596,17.8,55
Antonio Blakeney,CHI,2018,7.9,1.1,1.7,.288,.418,16.5,19
Paul Zipser,CHI,2018,4.0,0.9,2.4,.336,.355,15.3,54
Ömer Aşık,CHI,2018,1.0,0.3,2.5,,.333,15.3,4
Ryan Arcidiacono,CHI,2018,2.0,1.5,1.0,.290,.800,12.7,24
Kay Felder,CHI,2018,3.9,1.4,1.0,.222,.333,9.6,14
Quincy Pondexter,CHI,2018,2.0,0.4,1.2,.136,.407,8.5,23
Jarell Eddie,CHI,2018,0.0,0.0,0.0,.000,,3.0,1
Aaron Gordon,ORL,2018,17.6,2.3,7.9,.336,.497,32.9,58
Evan Fournier,ORL,2018,17.8,2.9,3.2,.379,.516,32.2,57
Nikola Vučević,ORL,2018,16.5,3.4,9.2,.314,.527,29.5,57
Jonathon Simmons,ORL,2018,13.9,2.5,3.5,.338,.512,29.4,69
Elfrid Payton,ORL,2018,13.0,6.3,4.0,.373,.545,28.6,44
Terrence Ross,ORL,2018,8.7,1.6,3.0,.323,.469,25.0,24
D.J. Augustin,ORL,2018,10.2,3.8,2.1,.419,.485,23.5,75
Mario Hezonja,ORL,2018,9.6,1.4,3.7,.337,.523,22.1,75
Jonathan Isaac,ORL,2018,5.4,0.7,3.7,.348,.394,19.9,27
Shelvin Mack,ORL,2018,6.9,3.9,2.4,.345,.473,19.8,69
Jamel Artis,ORL,2018,5.1,1.2,2.5,.276,.460,18.6,15
Bismack Biyombo,ORL,2018,5.7,0.8,5.7,.000,.521,18.2,82
Rodney Purvis,ORL,2018,6.0,1.1,1.7,.250,.400,18.1,16
Wesley Iwundu,ORL,2018,3.7,0.9,2.2,.196,.488,16.5,62
Khem Birch,ORL,2018,4.2,0.8,4.3,,.540,13.8,42
Marreese Speights,ORL,2018,7.7,0.8,2.6,.369,.448,13.0,52
Arron Afflalo,ORL,2018,3.4,0.6,1.2,.386,.413,12.9,53
Adreian Payne,ORL,2018,4.2,0.0,1.8,.667,.714,8.6,5
Rashad Vaughn,ORL,2018,1.0,0.0,0.8,.500,.250,7.0,5
Dennis Schröder,ATL,2018,19.4,6.2,3.1,.290,.480,31.0,67
Taurean Prince,ATL,2018,14.1,2.6,4.7,.385,.461,30.0,82
Kent Bazemore,ATL,2018,12.9,3.5,3.8,.394,.438,27.5,65
Damion Lee,ATL,2018,10.7,1.9,4.7,.250,.511,26.9,15
Ersan İlyasova,ATL,2018,10.9,1.1,5.5,.359,.532,25.5,46
Dewayne Dedmon,ATL,2018,10.0,1.5,7.9,.355,.595,24.9,62
John Collins,ATL,2018,10.5,1.3,7.3,.340,.598,24.1,74
Marco Belinelli,ATL,2018,11.4,2.0,1.9,.372,.450,23.3,52
Mike Muscala,ATL,2018,7.6,1.0,4.3,.371,.559,20.0,53
Malcolm Delaney,ATL,2018,6.3,3.0,1.9,.371,.391,18.8,54
DeAndre' Bembry,ATL,2018,5.2,1.9,2.8,.367,.429,17.5,26
Isaiah Taylor,ATL,2018,6.6,3.1,1.4,.250,.461,17.4,67
Tyler Dorsey,ATL,2018,7.2,1.4,2.3,.362,.393,17.4,56
Miles Plumlee,ATL,2018,4.3,0.8,4.1,,.583,16.7,55
Jaylen Morris,ATL,2018,4.7,1.2,2.7,.200,.500,16.3,6
Luke Babbitt,ATL,2018,6.1,0.7,2.2,.441,.544,15.4,37
Andrew White,ATL,2018,4.6,0.4,2.3,.367,.292,13.9,15
Tyler Cavanaugh,ATL,2018,4.7,0.7,3.3,.360,.556,13.3,39
Josh Magette,ATL,2018,2.6,3.2,1.1,.364,.292,12.0,18
Antonius Cleveland,ATL,2018,3.3,0.0,1.0,1.000,.250,10.5,4
Jeremy Evans,ATL,2018,2.0,0.0,1.0,,1.000,5.0,1
Nicolás Brussino,ATL,2018,0.0,0.0,0.8,.000,,2.5,4
James Harden,HOU,2018,30.4,8.8,5.4,.367,.531,35.4,72
Aaron Jackson,HOU,2018,8.0,1.0,3.0,.250,.400,35.0,1
Trevor Ariza,HOU,2018,11.7,1.6,4.4,.368,.519,33.9,67
Chris Paul,HOU,2018,18.6,7.9,5.4,.380,.532,31.8,58
Eric Gordon,HOU,2018,18.0,2.2,2.5,.359,.544,31.2,69
P.J. Tucker,HOU,2018,6.1,0.9,5.6,.371,.435,27.8,82
Clint Capela,HOU,2018,13.9,0.9,10.8,.000,.653,27.5,74
Ryan Anderson,HOU,2018,9.3,0.9,5.0,.386,.539,26.1,66
Luc Mbah a Moute,HOU,2018,7.5,0.9,3.0,.364,.599,25.6,61
Gerald Green,HOU,2018,12.1,0.6,3.2,.369,.504,22.7,41
Joe Johnson,HOU,2018,6.0,1.7,2.8,.279,.466,22.0,23
Chinanu Onuaku,HOU,2018,4.0,1.0,4.0,,.400,22.0,1
Brandan Wright,HOU,2018,4.0,0.0,2.0,,.667,15.0,1
Nenê Hilário,HOU,2018,6.5,0.9,3.4,.000,.574,14.6,52
Tarik Black,HOU,2018,3.5,0.3,3.2,.091,.638,10.5,51
Briante Weber,HOU,2018,2.0,1.0,1.4,.444,.385,9.1,13
R.J. Hunter,HOU,2018,3.8,0.6,1.0,.214,.667,9.0,5
Markel Brown,HOU,2018,1.3,0.5,1.3,.200,.500,7.8,4
Zhou Qi,HOU,2018,1.2,0.1,1.2,.105,.308,6.9,18
Bobby Brown,HOU,2018,2.5,0.6,0.4,.275,.444,5.8,20
Demetrius Jackson,HOU,2018,0.7,0.4,0.9,.000,.500,5.3,12
Tim Quarterman,HOU,2018,1.3,0.3,1.0,.000,1.000,4.3,3
Troy Williams,HOU,2018,1.3,0.3,1.0,.000,.500,4.3,4
Isaiah Canaan,HOU,2018,0.0,0.0,1.0,,.000,4.0,1
Klay Thompson,GSW,2018,20.0,2.5,3.8,.440,.526,34.3,73
Kevin Durant,GSW,2018,26.4,5.4,6.8,.419,.565,34.2,68
Draymond Green,GSW,2018,11.0,7.3,7.6,.301,.562,32.7,70
Stephen Curry,GSW,2018,26.4,6.1,5.1,.423,.595,32.0,51
Andre Iguodala,GSW,2018,6.0,3.3,3.8,.282,.567,25.3,64
Quinn Cook,GSW,2018,9.5,2.7,2.5,.442,.514,22.4,33
Nick Young,GSW,2018,7.3,0.5,1.6,.377,.481,17.4,80
Patrick McCaw,GSW,2018,4.0,1.4,1.4,.238,.503,16.9,57
Shaun Livingston,GSW,2018,5.5,2.0,1.8,.000,.509,15.9,71
Jordan Bell,GSW,2018,4.6,1.8,3.6,.000,.641,14.2,57
Zaza Pachulia,GSW,2018,5.4,1.6,4.7,.000,.567,14.1,69
Omri Casspi,GSW,2018,5.7,1.0,3.8,.455,.595,14.0,53
Kevon Looney,GSW,2018,4.0,0.6,3.3,.200,.590,13.8,66
David West,GSW,2018,6.8,1.9,3.3,.375,.576,13.7,73
JaVale McGee,GSW,2018,4.8,0.5,2.6,.000,.638,9.5,65
Damian Jones,GSW,2018,1.7,0.1,0.9,,.500,5.9,15
Chris Boucher,GSW,2018,0.0,0.0,1.0,.000,,1.0,1
Damian Lillard,POR,2018,26.9,6.6,4.5,.361,.501,36.6,73
CJ McCollum,POR,2018,21.4,3.4,4.0,.397,.465,36.1,81
Al-Farouq Aminu,POR,2018,9.3,1.2,7.6,.369,.432,30.0,69
Jusuf Nurkić,POR,2018,14.3,1.8,9.0,.000,.508,26.4,79
Evan Turner,POR,2018,8.2,2.2,3.1,.318,.485,25.7,79
Maurice Harkless,POR,2018,6.5,0.9,2.7,.415,.547,21.4,59
Shabazz Napier,POR,2018,8.7,2.0,2.3,.376,.450,20.7,74
Ed Davis,POR,2018,5.3,0.5,7.4,.000,.584,18.9,78
Pat Connaughton,POR,2018,5.4,1.1,2.0,.352,.506,18.1,82
