name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
Kelly Olynyk,MIA,2020,8.2,1.7,4.6,.406,.543,19.4,67
Solomon Hill,MIA,2020,4.5,0.9,1.9,.292,.333,17.0,11
James Johnson,MIA,2020,5.7,1.2,2.9,.356,.548,15.6,18
Dion Waiters,MIA,2020,9.3,1.0,3.7,.471,.222,14.0,3
Udonis Haslem,MIA,2020,3.0,0.3,4.0,.333,.375,11.0,4
Gabe Vincent,MIA,2020,2.4,0.7,0.6,.222,.200,9.2,9
Chris Silva,MIA,2020,3.0,0.5,2.9,.000,.640,7.9,44
Kyle Alexander,MIA,2020,1.0,0.0,1.5,,.500,6.5,2
KZ Okpala,MIA,2020,1.4,0.2,1.0,.000,.750,5.2,5
Daryl Macon,MIA,2020,0.8,0.3,0.0,.500,.000,3.5,4
Ben Simmons,PHI,2020,16.4,8.0,7.8,.286,.583,35.4,57
Tobias Harris,PHI,2020,19.6,3.2,6.9,.367,.517,34.3,72
Josh Richardson,PHI,2020,13.7,2.9,3.2,.341,.486,30.8,55
Al Horford,PHI,2020,11.9,4.0,6.8,.350,.516,30.2,67
Joel Embiid,PHI,2020,23.0,3.0,11.6,.331,.517,29.5,51
Furkan Korkmaz,PHI,2020,9.8,1.1,2.3,.402,.478,21.7,72
Alec Burks,PHI,2020,12.2,2.1,3.1,.416,.500,20.2,18
Shake Milton,PHI,2020,9.4,2.6,2.2,.430,.535,20.1,40
Matisse Thybulle,PHI,2020,4.7,1.2,1.6,.357,.519,19.8,65
Glenn Robinson,PHI,2020,7.7,0.8,3.1,.333,.603,19.3,14
Mike Scott,PHI,2020,6.0,0.8,3.6,.369,.519,17.8,68
James Ennis,PHI,2020,5.8,0.8,3.1,.349,.525,15.8,49
Trey Burke,PHI,2020,5.9,2.1,1.4,.421,.483,13.2,25
Raul Neto,PHI,2020,5.1,1.8,1.1,.386,.500,12.4,54
Kyle O'Quinn,PHI,2020,3.5,1.8,4.0,.259,.603,10.8,29
Norvel Pelle,PHI,2020,2.4,0.3,3.0,.000,.532,9.7,24
Marial Shayok,PHI,2020,2.8,0.3,1.8,.333,.167,7.0,4
Zhaire Smith,PHI,2020,1.1,0.3,0.3,.000,.375,4.6,7
Jonah Bolden,PHI,2020,1.0,0.0,0.3,.000,1.000,3.5,4
Kyrie Irving,BRK,2020,27.4,6.4,5.2,.394,.522,32.9,20
Spencer Dinwiddie,BRK,2020,20.6,6.8,3.5,.308,.485,31.2,64
Joe Harris,BRK,2020,14.5,2.1,4.3,.424,.553,30.8,69
Caris LeVert,BRK,2020,18.7,4.4,4.2,.364,.451,29.6,45
Taurean Prince,BRK,2020,12.1,1.8,6.0,.339,.429,29.0,64
Garrett Temple,BRK,2020,10.3,2.5,3.5,.329,.473,27.9,62
Jarrett Allen,BRK,2020,11.1,1.6,9.6,.000,.658,26.5,70
Tyler Johnson,BRK,2020,12.0,3.0,3.0,.389,.419,24.3,8
DeAndre Jordan,BRK,2020,8.3,1.9,10.0,,.666,22.0,56
Wilson Chandler,BRK,2020,5.9,1.1,4.1,.306,.597,21.0,35
Iman Shumpert,BRK,2020,4.2,0.9,2.6,.242,.419,18.5,13
Timothé Luwawu-Cabarrot,BRK,2020,7.8,0.6,2.7,.388,.505,18.1,47
Donta Hall,BRK,2020,6.6,0.4,4.6,,.778,17.0,5
Chris Chiozza,BRK,2020,6.4,3.1,2.1,.357,.500,15.4,18
Rodions Kurucs,BRK,2020,4.6,1.1,2.9,.367,.529,14.6,47
Lance Thomas,BRK,2020,3.4,0.9,1.9,.308,.400,14.0,7
David Nwaba,BRK,2020,5.2,0.4,2.3,.429,.581,13.4,20
Nicolas Claxton,BRK,2020,4.4,1.1,2.9,.143,.634,12.5,15
Džanan Musa,BRK,2020,4.8,1.1,2.2,.244,.479,12.2,40
Theo Pinson,BRK,2020,3.6,1.7,1.6,.188,.400,11.1,33
Jeremiah Martin,BRK,2020,7.1,2.0,1.1,.278,.543,11.0,9
Justin Anderson,BRK,2020,2.8,0.8,2.1,.207,.444,10.7,10
Jamal Crawford,BRK,2020,5.0,3.0,0.0,.500,.500,6.0,1
Henry Ellenson,BRK,2020,0.4,0.2,1.2,.000,.333,3.0,5
Aaron Gordon,ORL,2020,14.4,3.7,7.7,.308,.494,32.5,62
Nikola Vučević,ORL,2020,19.6,3.6,10.9,.339,.531,32.2,62
Evan Fournier,ORL,2020,18.5,3.2,2.6,.399,.527,31.5,66
Jonathan Isaac,ORL,2020,11.9,1.4,6.8,.340,.521,28.8,34
Markelle Fultz,ORL,2020,12.1,5.1,3.3,.267,.507,27.7,72
Terrence Ross,ORL,2020,14.7,1.2,3.2,.351,.480,27.4,69
D.J. Augustin,ORL,2020,10.5,4.6,2.1,.348,.438,24.9,57
James Ennis,ORL,2020,8.5,1.1,4.8,.286,.600,24.5,20
Al-Farouq Aminu,ORL,2020,4.3,1.2,4.8,.250,.320,21.1,18
Khem Birch,ORL,2020,4.4,1.0,4.6,.000,.514,19.2,48
Michael Carter-Williams,ORL,2020,7.2,2.4,3.3,.293,.481,18.5,45
Wesley Iwundu,ORL,2020,5.8,1.2,2.5,.341,.457,18.3,52
Gary Clark,ORL,2020,3.6,0.2,2.9,.350,.714,14.8,24
Mohamed Bamba,ORL,2020,5.4,0.7,4.9,.346,.531,14.2,62
B.J. Johnson,ORL,2020,3.0,0.3,1.5,.333,.261,8.3,10
Vic Law,ORL,2020,1.9,0.4,1.4,.143,.455,7.8,8
Melvin Frazier,ORL,2020,2.1,0.2,0.5,.500,.389,6.6,19
Josh Magette,ORL,2020,1.5,0.6,0.8,.250,.364,4.8,8
Amile Jefferson,ORL,2020,0.8,0.2,1.3,,.357,4.1,18
Devonte' Graham,CHO,2020,18.2,7.5,3.4,.373,.397,35.1,63
Terry Rozier,CHO,2020,18.0,4.1,4.4,.407,.436,34.3,63
Miles Bridges,CHO,2020,13.0,1.8,5.6,.330,.486,30.7,65
P.J. Washington,CHO,2020,12.2,2.1,5.4,.374,.507,30.3,58
Cody Zeller,CHO,2020,11.1,1.5,7.1,.240,.577,23.1,58
Nicolas Batum,CHO,2020,3.6,3.0,4.5,.286,.438,23.0,22
Malik Monk,CHO,2020,10.3,2.1,2.9,.284,.542,21.3,55
Marvin Williams,CHO,2020,6.7,1.0,2.7,.376,.538,19.7,41
Bismack Biyombo,CHO,2020,7.4,0.9,5.8,,.543,19.4,53
Cody Martin,CHO,2020,5.0,2.0,3.3,.234,.546,18.8,48
Jalen McDaniels,CHO,2020,5.6,0.8,4.1,.375,.522,18.3,16
Dwayne Bacon,CHO,2020,5.7,1.3,2.6,.284,.373,17.6,39
Caleb Martin,CHO,2020,6.2,1.3,2.1,.541,.362,17.6,18
Michael Kidd-Gilchrist,CHO,2020,4.0,0.8,2.9,.294,.361,13.3,12
Willy Hernangómez,CHO,2020,6.1,0.9,4.3,.227,.590,12.1,31
Joe Chealey,CHO,2020,0.5,0.3,0.0,.000,.000,8.3,4
Bradley Beal,WAS,2020,30.5,6.1,4.2,.353,.515,36.0,57
Rui Hachimura,WAS,2020,13.5,1.8,6.1,.287,.500,30.1,48
Dāvis Bertāns,WAS,2020,15.4,1.7,4.5,.424,.471,29.3,54
Ish Smith,WAS,2020,10.9,4.9,3.2,.367,.473,26.3,68
Troy Brown,WAS,2020,10.4,2.6,5.6,.341,.479,25.8,69
Thomas Bryant,WAS,2020,13.2,1.8,7.2,.407,.630,24.9,46
Shabazz Napier,WAS,2020,11.6,3.8,2.4,.358,.489,24.4,20
Jerome Robinson,WAS,2020,9.4,2.0,3.3,.349,.443,24.0,21
Isaiah Thomas,WAS,2020,12.2,3.7,1.7,.413,.405,23.1,40
Jordan McRae,WAS,2020,12.8,2.8,3.6,.377,.441,22.6,29
Ian Mahinmi,WAS,2020,7.4,1.3,5.7,.192,.538,21.3,38
Isaac Bonga,WAS,2020,5.0,1.2,3.4,.352,.571,18.9,66
Moritz Wagner,WAS,2020,8.7,1.2,4.9,.313,.645,18.6,45
Anžejs Pasečņiks,WAS,2020,5.8,0.7,4.0,.000,.540,16.2,27
C.J. Miles,WAS,2020,6.4,1.2,1.2,.314,.333,16.1,10
Gary Payton,WAS,2020,3.9,1.7,2.8,.283,.500,14.9,29
Jerian Grant,WAS,2020,4.5,1.5,1.0,.250,.421,13.3,6
Jarrod Uthoff,WAS,2020,5.0,0.0,1.7,.600,.500,13.0,3
Garrison Mathews,WAS,2020,5.4,0.6,1.3,.413,.500,12.6,18
Chris Chiozza,WAS,2020,2.7,2.8,1.5,.438,.167,12.3,10
Johnathan Williams,WAS,2020,3.0,0.5,4.3,.000,.594,12.0,15
Admiral Schofield,WAS,2020,3.0,0.5,1.4,.311,.516,11.2,33
Justin Robinson,WAS,2020,1.4,0.8,0.6,.600,.286,5.4,9
Zach LaVine,CHI,2020,25.5,4.2,4.8,.380,.497,34.8,60
Lauri Markkanen,CHI,2020,14.7,1.5,6.3,.344,.518,29.8,50
Wendell Carter,CHI,2020,11.3,1.2,9.4,.207,.564,29.2,43
Tomáš Satoranský,CHI,2020,9.9,5.4,3.9,.322,.491,28.9,65
Coby White,CHI,2020,13.2,2.7,3.5,.354,.430,25.8,65
Kris Dunn,CHI,2020,7.3,3.4,3.6,.259,.535,24.9,51
Thaddeus Young,CHI,2020,10.3,1.8,4.9,.356,.501,24.9,64
Otto Porter,CHI,2020,11.9,1.8,3.4,.387,.487,23.6,14
Chandler Hutchison,CHI,2020,7.8,0.9,3.9,.316,.496,18.8,28
Cristiano Felício,CHI,2020,3.9,0.7,4.6,.000,.654,17.5,22
Ryan Arcidiacono,CHI,2020,4.5,1.7,1.9,.391,.439,16.0,58
Luke Kornet,CHI,2020,6.0,0.9,2.3,.287,.646,15.5,36
Daniel Gafford,CHI,2020,5.1,0.5,2.5,,.701,14.2,43
Denzel Valentine,CHI,2020,6.8,1.2,2.1,.336,.510,13.6,36
Shaquille Harrison,CHI,2020,4.9,1.1,2.0,.381,.496,11.3,43
Adam Mokoka,CHI,2020,2.9,0.4,0.9,.400,.462,10.2,11
Max Strus,CHI,2020,2.5,0.0,0.5,.000,1.000,3.0,2
Julius Randle,NYK,2020,19.5,3.1,9.7,.277,.515,32.5,64
Marcus Morris,NYK,2020,19.6,1.4,5.4,.439,.444,32.3,43
RJ Barrett,NYK,2020,14.3,2.6,5.0,.320,.432,30.4,56
Elfrid Payton,NYK,2020,10.0,7.2,4.7,.203,.482,27.7,45
Maurice Harkless,NYK,2020,6.8,1.7,3.3,.280,.561,23.8,12
Reggie Bullock,NYK,2020,8.1,1.4,2.3,.333,.469,23.6,29
Mitchell Robinson,NYK,2020,9.7,0.6,7.0,,.742,23.1,61
Bobby Portis,NYK,2020,10.1,1.5,5.1,.358,.493,21.1,66
Frank Ntilikina,NYK,2020,6.3,3.0,2.1,.321,.444,20.8,57
Kevin Knox,NYK,2020,6.4,0.9,2.8,.327,.391,17.9,65
Damyean Dotson,NYK,2020,6.7,1.2,1.9,.362,.480,17.4,48
Taj Gibson,NYK,2020,6.1,0.8,4.3,.286,.599,16.5,62
Dennis Smith,NYK,2020,5.5,2.9,2.3,.296,.357,15.8,34
Wayne Ellington,NYK,2020,5.1,1.2,1.8,.350,.355,15.5,36
Allonzo Trier,NYK,2020,6.5,1.2,1.2,.358,.604,12.1,24
Kadeem Allen,NYK,2020,5.0,2.1,0.9,.313,.500,11.7,10
Ignas Brazdeikis,NYK,2020,1.9,0.4,0.6,.111,.385,5.9,9
Andre Drummond,DET,2020,17.8,2.8,15.8,.048,.546,33.8,49
Luke Kennard,DET,2020,15.8,4.1,3.5,.399,.491,32.9,28
Blake Griffin,DET,2020,15.5,3.3,4.7,.243,.439,28.4,18
Bruce Brown,DET,2020,8.9,4.0,4.7,.344,.470,28.2,58
Tony Snell,DET,2020,8.0,2.2,1.9,.402,.531,27.8,59
Reggie Jackson,DET,2020,14.9,5.1,2.9,.378,.388,27.2,14
Derrick Rose,DET,2020,18.1,5.6,2.4,.306,.535,26.0,50
Langston Galloway,DET,2020,10.3,1.5,2.3,.399,.493,25.8,66
Brandon Knight,DET,2020,11.6,4.2,2.3,.388,.357,24.6,9
Jordan McRae,DET,2020,11.8,1.8,3.8,.188,.407,24.5,4
Sviatoslav Mykhailiuk,DET,2020,9.0,1.9,1.9,.404,.425,22.6,56
Markieff Morris,DET,2020,11.0,1.6,3.9,.397,.500,22.5,44
Christian Wood,DET,2020,13.1,1.0,6.3,.386,.636,21.4,62
Sekou Doumbouya,DET,2020,6.4,0.5,3.1,.286,.464,19.8,38
John Henson,DET,2020,6.9,1.0,4.4,.400,.696,17.1,11
Tim Frazier,DET,2020,3.6,3.4,1.2,.333,.375,13.1,27
Thon Maker,DET,2020,4.7,0.7,2.8,.344,.550,12.9,60
Donta Hall,DET,2020,1.5,0.5,3.8,,.250,12.0,4
Derrick Walton,DET,2020,1.0,1.7,0.3,.333,,8.7,3
Khyri Thomas,DET,2020,2.1,0.4,0.1,.357,.000,7.6,8
Louis King,DET,2020,2.0,0.5,1.0,.364,.400,6.2,10
Jordan Bone,DET,2020,1.2,0.8,0.4,.200,.300,5.3,10
Trae Young,ATL,2020,29.6,9.3,4.3,.361,.501,35.3,60
John Collins,ATL,2020,21.6,1.5,10.1,.401,.642,33.2,41
De'Andre Hunter,ATL,2020,12.3,1.8,4.5,.355,.454,32.0,63
Kevin Huerter,ATL,2020,12.2,3.8,4.1,.380,.453,31.4,56
Cam Reddish,ATL,2020,10.5,1.5,3.7,.332,.428,26.7,58
Jabari Parker,ATL,2020,15.0,1.8,6.0,.270,.601,26.2,32
Dewayne Dedmon,ATL,2020,8.1,0.7,8.2,.222,.521,23.3,10
DeAndre' Bembry,ATL,2020,5.8,1.9,3.5,.231,.546,21.3,43
Jeff Teague,ATL,2020,7.7,4.0,2.2,.333,.430,20.8,25
Allen Crabbe,ATL,2020,5.1,1.0,2.3,.323,.440,18.6,28
Alex Len,ATL,2020,8.7,1.1,5.8,.250,.627,18.6,40
Damian Jones,ATL,2020,5.6,0.6,3.7,.222,.704,16.1,55
Vince Carter,ATL,2020,5.0,0.8,2.1,.302,.451,14.6,60
Evan Turner,ATL,2020,3.3,2.0,2.0,.000,.403,13.2,19
Bruno Fernando,ATL,2020,4.3,0.9,3.5,.135,.605,12.7,56
Brandon Goodwin,ATL,2020,6.1,1.5,2.1,.299,.485,12.6,34
Treveon Graham,ATL,2020,3.3,0.7,2.3,.351,.400,12.1,22
Tyrone Wallace,ATL,2020,2.9,0.9,1.6,.067,.448,11.4,14
Chandler Parsons,ATL,2020,2.8,0.6,1.4,.286,.250,10.8,5
Paul Watson,ATL,2020,0.0,1.5,1.0,.000,.000,8.5,2
Charlie Brown,ATL,2020,2.0,0.2,0.4,.333,.300,4.0,10
Collin Sexton,CLE,2020,20.8,3.0,3.1,.380,.501,33.0,65
Kevin Love,CLE,2020,17.6,3.2,9.8,.374,.537,31.8,56
Darius Garland,CLE,2020,12.3,3.9,1.9,.355,.434,30.9,59
Tristan Thompson,CLE,2020,12.0,2.1,10.1,.391,.518,30.2,57
Cedi Osman,CLE,2020,11.0,2.4,3.6,.383,.497,29.4,65
Andre Drummond,CLE,2020,17.5,1.8,11.1,.286,.593,28.1,8
Larry Nance,CLE,2020,10.1,2.2,7.3,.352,.636,26.3,56
Kevin Porter,CLE,2020,10.0,2.2,3.2,.335,.506,23.2,50
Jordan Clarkson,CLE,2020,14.6,2.4,2.4,.371,.509,23.0,29
Dante Exum,CLE,2020,5.6,1.4,2.3,.351,.559,16.8,24
Brandon Knight,CLE,2020,4.9,1.9,1.3,.297,.409,15.1,16
Alfonzo McKinnie,CLE,2020,4.6,0.4,2.8,.215,.557,14.8,40
Matthew Dellavedova,CLE,2020,3.1,3.2,1.3,.231,.488,14.4,57
John Henson,CLE,2020,5.0,1.5,3.9,.194,.618,14.2,29
Ante Žižić,CLE,2020,4.4,0.3,3.0,,.569,10.0,22
Dean Wade,CLE,2020,1.7,0.2,1.6,.500,.778,5.9,12
Matt Mooney,CLE,2020,0.5,0.3,0.8,.000,.500,4.8,4
Malik Newman,CLE,2020,2.0,0.0,0.0,.000,.000,4.0,1
Tyler Cook,CLE,2020,1.7,0.1,0.9,,.700,3.2,11
Marques Bolden,CLE,2020,0.0,0.0,2.0,,,3.0,1
J.P. Macura,CLE,2020,0.0,0.0,0.0,,,1.0,1
LeBron James,LAL,2020,25.3,10.2,7.8,.348,.564,34.6,67
Anthony Davis,LAL,2020,26.1,3.2,9.3,.330,.546,34.4,62
Kentavious Caldwell-Pope,LAL,2020,9.3,1.6,2.1,.385,.541,25.5,69
Kyle Kuzma,LAL,2020,12.8,1.3,4.5,.316,.518,25.0,61
Danny Green,LAL,2020,8.0,1.3,3.3,.367,.524,24.8,68
Avery Bradley,LAL,2020,8.6,1.3,2.3,.364,.510,24.2,49
Dion Waiters,LAL,2020,11.9,2.4,1.9,.233,.558,23.6,7
Rajon Rondo,LAL,2020,7.1,5.0,3.0,.328,.473,20.5,48
Dwight Howard,LAL,2020,7.5,0.7,7.3,.600,.732,18.9,69
Alex Caruso,LAL,2020,5.5,1.9,1.9,.333,.468,18.4,64
JaVale McGee,LAL,2020,6.6,0.5,5.7,.500,.640,16.6,68
Markieff Morris,LAL,2020,5.3,0.6,3.2,.333,.500,14.2,14
Talen Horton-Tucker,LAL,2020,5.7,1.0,1.2,.308,.588,13.5,6
J.R. Smith,LAL,2020,2.8,0.5,0.8,.091,.545,13.2,6
Quinn Cook,LAL,2020,5.1,1.1,1.2,.365,.465,11.5,44
Troy Daniels,LAL,2020,4.2,0.3,1.1,.357,.478,11.1,41
Devontae Cacok,LAL,2020,6.0,1.0,5.0,,.500,9.0,1
Jared Dudley,LAL,2020,1.5,0.6,1.2,.429,.333,8.1,45
Kostas Antetokounmpo,LAL,2020,1.4,0.4,0.6,,1.000,4.0,5
Zach Norvell,LAL,2020,0.0,0.0,0.5,,.000,2.5,2
Kawhi Leonard,LAC,2020,27.1,4.9,7.1,.378,.506,32.4,57
Paul George,LAC,2020,21.5,3.9,5.7,.412,.464,29.6,48
Marcus Morris,LAC,2020,10.1,1.4,4.1,.310,.533,28.9,19
Lou Williams,LAC,2020,18.2,5.6,3.1,.352,.451,28.7,65
Montrezl Harrell,LAC,2020,18.6,1.7,7.1,.000,.593,27.8,63
Landry Shamet,LAC,2020,9.3,1.9,1.9,.375,.495,27.4,53
Patrick Beverley,LAC,2020,7.9,3.6,5.2,.388,.496,26.3,51
Maurice Harkless,LAC,2020,5.5,1.0,4.0,.370,.590,22.8,50
Reggie Jackson,LAC,2020,9.5,3.2,3.0,.413,.492,21.3,17
JaMychal Green,LAC,2020,6.8,0.8,6.2,.387,.518,20.7,63
Ivica Zubac,LAC,2020,8.3,1.1,7.5,.000,.616,18.4,72
Rodney McGruder,LAC,2020,3.3,0.6,2.7,.270,.522,15.6,56
Patrick Patterson,LAC,2020,4.9,0.7,2.6,.390,.459,13.2,59
Jerome Robinson,LAC,2020,2.9,1.1,1.4,.284,.391,11.3,42
Joakim Noah,LAC,2020,2.8,1.4,3.2,,.500,10.0,5
Derrick Walton,LAC,2020,2.2,1.0,0.7,.429,.533,9.7,23
Terance Mann,LAC,2020,2.4,1.3,1.3,.350,.508,8.8,41
Amir Coffey,LAC,2020,3.2,0.8,0.9,.316,.486,8.8,18
Mfiondu Kabengele,LAC,2020,3.5,0.2,0.9,.450,.417,5.3,12
Johnathan Motley,LAC,2020,2.2,0.6,0.8,1.000,.714,3.2,13
Will Barton,DEN,2020,15.1,3.7,6.3,.375,.498,33.0,58
Jamal Murray,DEN,2020,18.5,4.8,4.0,.346,.519,32.3,59
Nikola Jokić,DEN,2020,19.9,7.0,9.7,.314,.594,32.0,73
Gary Harris,DEN,2020,10.4,2.1,2.9,.333,.479,31.8,56
Jerami Grant,DEN,2020,12.0,1.2,3.5,.389,.537,26.6,71
Paul Millsap,DEN,2020,11.6,1.6,5.7,.435,.500,24.3,51
Monte Morris,DEN,2020,9.0,3.5,1.9,.378,.495,22.4,73
Torrey Craig,DEN,2020,5.4,0.8,3.3,.326,.603,18.5,58
Malik Beasley,DEN,2020,7.9,1.2,1.9,.360,.421,18.2,41
Mason Plumlee,DEN,2020,7.2,2.5,5.2,.000,.625,17.3,61
Michael Porter,DEN,2020,9.3,0.8,4.7,.422,.564,16.4,55
PJ Dozier,DEN,2020,5.8,2.2,1.9,.347,.444,14.2,29
Keita Bates-Diop,DEN,2020,5.3,0.0,2.4,.333,.526,14.0,7
Troy Daniels,DEN,2020,4.3,0.5,1.0,.300,.500,12.7,6
Juan Hernangómez,DEN,2020,3.1,0.6,2.8,.250,.460,12.4,34
Bol Bol,DEN,2020,5.7,0.9,2.7,.444,.526,12.4,7
Tyler Cook,DEN,2020,2.0,0.0,2.0,,.500,9.5,2
Jordan McRae,DEN,2020,2.3,1.0,1.3,.500,.000,8.0,4
Jarred Vanderbilt,DEN,2020,1.1,0.2,0.9,,.714,4.6,9
Noah Vonleh,DEN,2020,1.9,0.3,1.1,1.000,.800,4.3,7
Vlatko Čančar,DEN,2020,1.2,0.2,0.7,.167,.556,3.2,14
James Harden,HOU,2020,34.3,7.5,6.6,.355,.556,36.5,68
Russell Westbrook,HOU,2020,27.2,7.0,7.9,.258,.514,35.9,57
P.J. Tucker,HOU,2020,6.9,1.6,6.6,.358,.551,34.3,72
