name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
Giannis Antetokounmpo,MIL,2020,29.5,5.6,13.6,.304,.631,30.4,63
Khris Middleton,MIL,2020,20.9,4.3,6.2,.415,.546,29.9,62
Eric Bledsoe,MIL,2020,14.9,5.4,4.6,.344,.533,27.0,61
Brook Lopez,MIL,2020,12.0,1.5,4.6,.314,.549,26.7,68
Wesley Matthews,MIL,2020,7.4,1.4,2.5,.364,.472,24.4,67
Donte DiVincenzo,MIL,2020,9.2,2.3,4.8,.336,.567,23.0,66
George Hill,MIL,2020,9.4,3.1,3.0,.460,.565,21.5,59
Marvin Williams,MIL,2020,4.0,1.1,4.4,.308,.722,18.9,17
Pat Connaughton,MIL,2020,5.4,1.6,4.2,.331,.607,18.6,67
Kyle Korver,MIL,2020,6.7,1.2,2.1,.418,.482,16.6,58
Ersan İlyasova,MIL,2020,6.6,0.8,4.8,.365,.545,15.7,63
Sterling Brown,MIL,2020,5.1,1.0,3.5,.324,.425,14.8,52
Robin Lopez,MIL,2020,5.4,0.7,2.4,.333,.577,14.5,66
Frank Mason,MIL,2020,6.9,3.2,2.1,.286,.567,13.1,9
Dragan Bender,MIL,2020,3.7,1.3,2.9,.444,.500,13.0,7
D.J. Wilson,MIL,2020,3.6,0.7,2.5,.247,.576,9.8,37
Thanasis Antetokounmpo,MIL,2020,2.8,0.8,1.2,.000,.632,6.5,20
Kyle Lowry,TOR,2020,19.4,7.5,5.0,.352,.504,36.2,58
Fred VanVleet,TOR,2020,17.6,6.6,3.8,.390,.434,35.7,54
Pascal Siakam,TOR,2020,22.9,3.5,7.3,.359,.499,35.2,60
OG Anunoby,TOR,2020,10.6,1.6,5.3,.390,.583,29.9,69
Norman Powell,TOR,2020,16.0,1.8,3.7,.399,.575,28.4,52
Serge Ibaka,TOR,2020,15.4,1.4,8.2,.385,.559,27.0,55
Marc Gasol,TOR,2020,7.5,3.3,6.3,.385,.473,26.4,44
Patrick McCaw,TOR,2020,4.6,2.1,2.3,.324,.484,24.5,37
Rondae Hollis-Jefferson,TOR,2020,7.0,1.8,4.7,.130,.497,18.7,60
Terence Davis,TOR,2020,7.5,1.6,3.3,.388,.541,16.8,72
Chris Boucher,TOR,2020,6.6,0.4,4.5,.322,.569,13.2,62
Matt Thomas,TOR,2020,4.9,0.5,1.5,.475,.510,10.7,41
Paul Watson,TOR,2020,3.9,0.6,1.9,.444,.600,8.8,8
Oshae Brissett,TOR,2020,1.9,0.4,1.4,.200,.476,7.1,19
Stanley Johnson,TOR,2020,2.4,0.8,1.5,.292,.429,6.0,25
Malcolm Miller,TOR,2020,1.3,0.4,0.6,.364,.571,5.8,28
Dewan Hernandez,TOR,2020,2.3,0.5,2.3,.500,.333,4.7,6
Shamorie Ponds,TOR,2020,2.3,0.5,0.3,.500,.667,2.8,4
Jayson Tatum,BOS,2020,23.4,3.0,7.0,.403,.480,34.3,66
Jaylen Brown,BOS,2020,20.3,2.1,6.4,.382,.543,33.9,57
Gordon Hayward,BOS,2020,17.5,4.1,6.7,.383,.554,33.5,52
Marcus Smart,BOS,2020,12.9,4.9,3.8,.347,.415,32.0,60
Kemba Walker,BOS,2020,20.4,4.8,3.9,.381,.476,31.1,56
Daniel Theis,BOS,2020,9.2,1.7,6.6,.333,.633,24.1,65
Brad Wanamaker,BOS,2020,6.9,2.5,2.0,.363,.481,19.3,71
Enes Kanter,BOS,2020,8.1,1.0,7.4,.143,.581,16.9,58
Grant Williams,BOS,2020,3.4,1.0,2.6,.250,.548,15.1,69
Semi Ojeleye,BOS,2020,3.4,0.5,2.1,.378,.464,14.7,69
Robert Williams,BOS,2020,5.2,0.9,4.4,,.727,13.4,29
Romeo Langford,BOS,2020,2.5,0.4,1.3,.185,.434,11.6,32
Tremont Waters,BOS,2020,3.6,1.5,1.1,.167,.400,10.8,11
Javonte Green,BOS,2020,3.4,0.5,1.9,.273,.581,9.8,48
Carsen Edwards,BOS,2020,3.3,0.6,1.3,.316,.346,9.5,37
Vincent Poirier,BOS,2020,1.9,0.4,2.0,.500,.471,5.9,22
Tacko Fall,BOS,2020,3.3,0.1,2.1,,.786,4.7,7
Domantas Sabonis,IND,2020,18.5,5.0,12.4,.254,.565,34.8,62
T.J. Warren,IND,2020,19.8,1.5,4.2,.403,.575,32.9,67
Malcolm Brogdon,IND,2020,16.5,7.1,4.9,.326,.488,30.9,54
Myles Turner,IND,2020,12.1,1.2,6.6,.344,.540,29.5,62
Jeremy Lamb,IND,2020,12.5,2.1,4.3,.335,.508,28.1,46
Victor Oladipo,IND,2020,14.5,2.9,3.9,.317,.451,27.8,19
Justin Holiday,IND,2020,8.3,1.3,3.3,.405,.477,25.0,73
Aaron Holiday,IND,2020,9.5,3.4,2.4,.394,.427,24.5,66
Doug McDermott,IND,2020,10.3,1.1,2.5,.435,.549,19.9,69
T.J. McConnell,IND,2020,6.5,5.0,2.7,.294,.525,18.7,71
Edmond Sumner,IND,2020,4.9,1.8,1.5,.264,.528,14.4,31
JaKarr Sampson,IND,2020,4.6,0.6,2.6,.154,.647,13.9,34
Naz Mitrou-Long,IND,2020,2.8,1.6,1.4,.167,.800,9.4,5
Goga Bitadze,IND,2020,3.2,0.4,2.0,.190,.574,8.7,54
T.J. Leaf,IND,2020,3.0,0.3,2.5,.278,.456,7.9,28
Alize Johnson,IND,2020,2.0,0.4,2.8,.375,.429,6.9,17
Brian Bowen,IND,2020,1.0,0.0,1.2,.000,.375,5.2,6
Jimmy Butler,MIA,2020,19.9,6.0,6.7,.244,.495,33.8,58
Bam Adebayo,MIA,2020,15.9,5.1,10.2,.143,.564,33.6,72
Justise Winslow,MIA,2020,11.3,4.0,6.6,.222,.431,32.0,11
Duncan Robinson,MIA,2020,13.5,1.4,3.2,.446,.654,29.7,73
Kendrick Nunn,MIA,2020,15.3,3.3,2.7,.350,.505,29.3,67
Goran Dragić,MIA,2020,16.2,5.1,3.2,.367,.505,28.2,59
Jae Crowder,MIA,2020,11.9,1.8,5.4,.445,.611,27.7,20
Tyler Herro,MIA,2020,13.5,2.2,4.1,.389,.462,27.4,55
Derrick Jones,MIA,2020,8.5,1.1,3.9,.280,.677,23.3,59
Meyers Leonard,MIA,2020,6.1,1.1,5.1,.414,.623,20.3,51
Andre Iguodala,MIA,2020,4.6,2.4,3.7,.298,.585,19.9,21
