name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
Andrew Bogut,CLE,2017,0.0,0.0,0.0,,,1.0,1
Kyle Lowry,TOR,2017,22.4,7.0,4.8,.412,.518,37.4,60
DeMar DeRozan,TOR,2017,27.3,3.9,5.2,.266,.484,35.4,74
Serge Ibaka,TOR,2017,14.2,0.7,6.8,.398,.494,31.0,23
DeMarre Carroll,TOR,2017,8.9,1.0,3.8,.341,.483,26.1,72
Jonas Valančiūnas,TOR,2017,12.0,0.7,9.5,.500,.557,25.8,80
P.J. Tucker,TOR,2017,5.8,1.1,5.4,.400,.412,25.4,24
Cory Joseph,TOR,2017,9.3,3.3,2.9,.356,.477,25.0,80
Patrick Patterson,TOR,2017,6.8,1.2,4.5,.372,.458,24.6,65
Terrence Ross,TOR,2017,10.4,0.8,2.6,.375,.516,22.4,54
Lucas Nogueira,TOR,2017,4.4,0.7,4.3,.250,.694,19.1,57
Norman Powell,TOR,2017,8.4,1.1,2.2,.324,.514,18.0,76
Delon Wright,TOR,2017,5.6,2.1,1.8,.333,.453,16.5,27
Pascal Siakam,TOR,2017,4.2,0.3,3.4,.143,.515,15.6,55
Jakob Poeltl,TOR,2017,3.1,0.2,3.1,,.583,11.6,54
Jared Sullinger,TOR,2017,3.4,0.3,2.5,.167,.414,10.7,11
Fred VanVleet,TOR,2017,2.9,0.9,1.1,.379,.341,7.9,37
Bruno Caboclo,TOR,2017,1.6,0.4,1.1,.333,.400,4.4,9
John Wall,WAS,2017,23.1,10.7,4.2,.327,.480,36.4,78
Bradley Beal,WAS,2017,23.1,3.5,3.1,.404,.538,34.9,77
Otto Porter,WAS,2017,13.4,1.5,6.4,.434,.576,32.6,80
Markieff Morris,WAS,2017,14.0,1.7,6.5,.362,.483,31.2,76
Marcin Gortat,WAS,2017,10.8,1.5,10.4,.000,.580,31.2,82
Bojan Bogdanović,WAS,2017,12.7,0.8,3.1,.391,.521,23.1,26
Kelly Oubre,WAS,2017,6.3,0.6,3.3,.287,.520,20.3,79
Ian Mahinmi,WAS,2017,5.6,0.6,4.8,,.586,17.9,31
Marcus Thornton,WAS,2017,6.6,1.2,2.3,.350,.431,17.4,33
Brandon Jennings,WAS,2017,3.5,4.7,1.9,.212,.333,16.3,23
Jason Smith,WAS,2017,5.7,0.5,3.5,.474,.546,14.4,74
Tomáš Satoranský,WAS,2017,2.7,1.6,1.5,.243,.473,12.6,57
Trey Burke,WAS,2017,5.0,1.8,0.8,.443,.459,12.3,57
Sheldon Mac,WAS,2017,3.0,0.5,1.1,.233,.511,9.6,30
Andrew Nicholson,WAS,2017,2.5,0.3,1.2,.188,.443,8.3,28
Chris McCullough,WAS,2017,0.5,0.0,1.0,.000,,4.0,2
Daniel Ochefu,WAS,2017,1.3,0.2,1.2,,.444,3.9,19
Danuel House,WAS,2017,0.0,0.0,1.0,,,1.0,1
Paul Millsap,ATL,2017,18.1,3.7,7.7,.311,.486,34.0,69
Dennis Schröder,ATL,2017,17.9,6.3,3.1,.340,.487,31.5,79
Dwight Howard,ATL,2017,13.5,1.4,12.7,.000,.635,29.7,74
Kyle Korver,ATL,2017,9.5,2.3,2.8,.409,.494,27.9,32
Tim Hardaway,ATL,2017,14.5,2.3,2.8,.357,.537,27.3,79
Kent Bazemore,ATL,2017,11.0,2.4,3.2,.346,.446,26.9,73
Thabo Sefolosha,ATL,2017,7.2,1.7,4.4,.342,.484,25.7,62
Ersan İlyasova,ATL,2017,10.4,1.7,5.8,.348,.455,24.3,26
Mike Muscala,ATL,2017,6.2,1.4,3.4,.418,.546,17.7,70
Malcolm Delaney,ATL,2017,5.4,2.6,1.7,.236,.428,17.1,73
Taurean Prince,ATL,2017,5.7,0.9,2.7,.324,.443,16.6,59
Mike Dunleavy,ATL,2017,5.6,1.0,2.3,.429,.453,15.8,30
José Calderón,ATL,2017,3.6,2.2,1.9,.267,.556,14.5,17
Kris Humphries,ATL,2017,4.6,0.5,3.7,.352,.425,12.3,56
Mike Scott,ATL,2017,2.5,0.9,2.1,.148,.406,10.8,18
DeAndre' Bembry,ATL,2017,2.7,0.7,1.6,.056,.575,9.8,38
Gary Neal,ATL,2017,2.0,0.5,0.5,.000,.000,9.0,2
Lamar Patterson,ATL,2017,1.8,1.2,1.4,.167,.222,8.0,5
Ryan Kelly,ATL,2017,1.6,0.5,1.1,.400,.222,6.9,16
Edy Tavares,ATL,2017,2.0,0.0,1.0,,1.000,4.0,1
Giannis Antetokounmpo,MIL,2017,22.9,5.4,8.8,.272,.563,35.6,80
Jabari Parker,MIL,2017,20.1,2.8,6.2,.365,.525,33.9,51
Khris Middleton,MIL,2017,14.7,3.4,4.2,.433,.459,30.7,29
Tony Snell,MIL,2017,8.5,1.2,3.1,.406,.548,29.2,80
Malcolm Brogdon,MIL,2017,10.2,4.2,2.8,.404,.480,26.4,75
Matthew Dellavedova,MIL,2017,7.6,4.7,1.9,.367,.404,26.1,76
Greg Monroe,MIL,2017,11.7,2.3,6.6,.000,.536,22.5,81
John Henson,MIL,2017,6.8,1.0,5.1,.000,.516,19.4,58
Jason Terry,MIL,2017,4.1,1.3,1.4,.427,.444,18.4,74
Michael Beasley,MIL,2017,9.4,0.9,3.4,.419,.545,16.7,56
Gary Payton,MIL,2017,3.3,2.2,2.0,.111,.538,16.5,6
Mirza Teletović,MIL,2017,6.4,0.7,2.3,.341,.460,16.2,70
Rashad Vaughn,MIL,2017,3.5,0.6,1.2,.321,.413,11.2,41
Thon Maker,MIL,2017,4.0,0.4,2.0,.378,.514,9.9,57
Miles Plumlee,MIL,2017,2.6,0.6,1.7,,.441,9.7,32
Spencer Hawes,MIL,2017,4.4,1.0,2.4,.346,.636,9.0,19
Axel Toupane,MIL,2017,0.0,0.0,0.0,.000,,3.0,2
Steve Novak,MIL,2017,0.6,0.0,0.4,.167,1.000,2.8,8
Terrence Jones,MIL,2017,0.0,0.0,1.0,,.000,2.0,3
Paul George,IND,2017,23.7,3.3,6.6,.393,.501,35.9,75
Jeff Teague,IND,2017,15.3,7.8,4.0,.357,.475,32.4,82
Myles Turner,IND,2017,14.5,1.3,7.3,.348,.536,31.4,81
Thaddeus Young,IND,2017,11.0,1.6,6.1,.381,.557,30.2,74
Monta Ellis,IND,2017,8.5,3.2,2.8,.319,.483,27.0,74
C.J. Miles,IND,2017,10.7,0.6,3.0,.413,.471,23.4,76
Lance Stephenson,IND,2017,7.2,4.2,4.0,.625,.361,22.0,6
Glenn Robinson,IND,2017,6.1,0.7,3.6,.392,.512,20.7,69
Rodney Stuckey,IND,2017,7.2,2.2,2.2,.317,.391,17.8,39
Lavoy Allen,IND,2017,2.9,0.9,3.6,.000,.461,14.3,61
Al Jefferson,IND,2017,8.1,0.9,4.2,.000,.500,14.1,66
Aaron Brooks,IND,2017,5.0,1.9,1.1,.375,.424,13.8,65
Kevin Séraphin,IND,2017,4.7,0.5,2.9,.000,.556,11.4,49
Rakeem Christmas,IND,2017,2.0,0.1,1.9,,.442,7.6,29
Joe Young,IND,2017,2.1,0.5,0.5,.217,.429,4.1,33
Georges Niang,IND,2017,0.9,0.2,0.7,.083,.333,4.0,23
Jimmy Butler,CHI,2017,23.9,5.5,6.2,.367,.477,37.0,76
Dwyane Wade,CHI,2017,18.3,3.8,4.5,.310,.456,29.9,60
Robin Lopez,CHI,2017,10.4,1.0,6.4,.000,.494,28.0,81
Taj Gibson,CHI,2017,11.6,1.1,6.9,.167,.529,27.3,55
Rajon Rondo,CHI,2017,7.8,6.7,5.1,.376,.418,26.7,69
Doug McDermott,CHI,2017,10.2,1.0,3.0,.373,.493,24.5,44
Nikola Mirotić,CHI,2017,10.6,1.1,5.5,.342,.520,24.0,70
Paul Zipser,CHI,2017,5.5,0.8,2.8,.333,.451,19.2,44
Michael Carter-Williams,CHI,2017,6.6,2.5,3.4,.234,.401,18.8,45
Denzel Valentine,CHI,2017,5.1,1.1,2.6,.351,.363,17.1,57
Jerian Grant,CHI,2017,5.9,1.9,1.8,.366,.473,16.3,63
Cristiano Felício,CHI,2017,4.8,0.6,4.7,,.579,15.8,66
Bobby Portis,CHI,2017,6.8,0.5,4.6,.333,.541,15.6,64
Isaiah Canaan,CHI,2017,4.6,0.9,1.3,.266,.481,15.2,39
Cameron Payne,CHI,2017,4.9,1.4,1.5,.324,.345,12.9,11
Joffrey Lauvergne,CHI,2017,4.5,1.0,3.4,.300,.431,12.1,20
Anthony Morrow,CHI,2017,4.6,0.7,0.2,.429,.400,9.7,9
R.J. Hunter,CHI,2017,0.0,0.0,0.3,.000,,3.0,3
Justise Winslow,MIA,2017,10.9,3.7,5.2,.200,.384,34.7,18
Goran Dragić,MIA,2017,20.3,5.8,3.8,.405,.499,33.7,73
Hassan Whiteside,MIA,2017,17.0,0.7,14.1,,.557,32.6,77
Josh Richardson,MIA,2017,10.2,2.6,3.2,.330,.444,30.5,53
Dion Waiters,MIA,2017,15.8,4.3,3.3,.395,.438,30.1,46
Tyler Johnson,MIA,2017,13.7,3.2,4.0,.372,.460,29.8,73
James Johnson,MIA,2017,12.8,3.6,4.9,.340,.548,27.4,76
Rodney McGruder,MIA,2017,6.4,1.6,3.3,.332,.488,25.2,78
Wayne Ellington,MIA,2017,10.5,1.1,2.1,.378,.509,24.2,62
Josh McRoberts,MIA,2017,4.9,2.3,3.4,.419,.356,17.3,22
Luke Babbitt,MIA,2017,4.8,0.5,2.1,.414,.366,15.7,68
Derrick Williams,MIA,2017,5.9,0.6,2.9,.200,.489,15.1,25
Willie Reed,MIA,2017,5.3,0.4,4.7,.250,.573,14.5,71
Okaro White,MIA,2017,2.8,0.6,2.3,.353,.396,13.5,35
Udonis Haslem,MIA,2017,1.9,0.4,2.3,.000,.550,8.1,16
Kentavious Caldwell-Pope,DET,2017,13.8,2.5,3.3,.350,.442,33.3,76
Marcus Morris,DET,2017,14.0,2.0,4.6,.331,.466,32.5,79
Tobias Harris,DET,2017,16.1,1.7,5.1,.347,.537,31.3,82
Andre Drummond,DET,2017,13.6,1.1,13.8,.286,.532,29.7,81
Reggie Jackson,DET,2017,14.5,5.2,2.2,.359,.442,27.4,52
Jon Leuer,DET,2017,10.2,1.5,5.4,.293,.545,25.9,75
Ish Smith,DET,2017,9.4,5.2,2.9,.267,.467,24.1,81
Stanley Johnson,DET,2017,4.4,1.4,2.5,.292,.398,17.8,77
Aron Baynes,DET,2017,4.9,0.4,4.4,,.513,15.5,75
Reggie Bullock,DET,2017,4.5,0.9,2.1,.384,.473,15.1,31
Beno Udrih,DET,2017,5.8,3.4,1.5,.344,.491,14.4,39
Darrun Hilliard,DET,2017,3.3,0.8,0.8,.261,.438,9.8,39
Boban Marjanović,DET,2017,5.5,0.3,3.7,,.545,8.4,35
Henry Ellenson,DET,2017,3.2,0.4,2.2,.286,.448,7.7,19
Michael Gbinije,DET,2017,0.4,0.2,0.3,.000,.167,3.6,9
Kemba Walker,CHO,2017,23.2,5.5,3.9,.399,.476,34.7,79
Nicolas Batum,CHO,2017,15.1,5.9,6.2,.333,.453,34.0,77
Marvin Williams,CHO,2017,11.2,1.4,6.6,.350,.494,30.2,76
Michael Kidd-Gilchrist,CHO,2017,9.2,1.4,7.0,.111,.483,29.0,81
Cody Zeller,CHO,2017,10.3,1.6,6.5,.000,.572,27.8,62
Frank Kaminsky,CHO,2017,11.7,2.2,4.5,.328,.455,26.1,75
Marco Belinelli,CHO,2017,10.5,2.0,2.4,.360,.488,24.0,74
Jeremy Lamb,CHO,2017,9.7,1.2,4.3,.281,.536,18.4,62
Spencer Hawes,CHO,2017,7.3,1.8,4.2,.291,.540,17.9,35
Ramon Sessions,CHO,2017,6.2,2.6,1.5,.339,.393,16.2,50
Roy Hibbert,CHO,2017,5.2,0.5,3.6,,.542,16.0,42
Miles Plumlee,CHO,2017,2.4,0.2,3.2,,.583,13.4,13
Mike Tobey,CHO,2017,1.0,0.5,1.5,,.250,12.5,2
Briante Weber,CHO,2017,3.8,1.2,1.7,.143,.487,12.2,13
Brian Roberts,CHO,2017,3.5,1.3,1.0,.386,.372,10.1,41
Johnny O'Bryant,CHO,2017,4.5,1.0,2.0,.333,.583,8.5,4
Christian Wood,CHO,2017,2.7,0.2,2.2,.000,.667,8.2,13
Treveon Graham,CHO,2017,2.1,0.2,0.8,.600,.400,7.0,27
Aaron Harrison,CHO,2017,0.2,0.6,0.6,.000,.000,3.4,5
Carmelo Anthony,NYK,2017,22.4,2.9,5.9,.359,.466,34.3,74
Kristaps Porziņģis,NYK,2017,18.1,1.5,7.2,.357,.493,32.8,66
Derrick Rose,NYK,2017,18.0,4.4,3.8,.217,.487,32.5,64
Courtney Lee,NYK,2017,10.8,2.3,3.4,.401,.490,31.9,77
Brandon Jennings,NYK,2017,8.6,4.9,2.6,.340,.415,24.6,58
Joakim Noah,NYK,2017,5.0,2.2,8.8,.000,.493,22.1,46
Lance Thomas,NYK,2017,6.0,0.8,3.1,.447,.371,21.0,46
Justin Holiday,NYK,2017,7.7,1.2,2.7,.355,.513,20.0,82
Willy Hernangómez,NYK,2017,8.2,1.3,7.0,.267,.538,18.4,72
Ron Baker,NYK,2017,4.1,2.1,1.9,.267,.450,16.5,52
Kyle O'Quinn,NYK,2017,6.3,1.5,5.6,.118,.538,15.6,79
Mindaugas Kuzminskas,NYK,2017,6.3,1.0,1.9,.321,.517,14.9,68
Chasson Randle,NYK,2017,5.3,1.6,1.5,.313,.450,12.5,18
Maurice Ndour,NYK,2017,3.1,0.3,2.0,.143,.481,10.3,32
Sasha Vujačić,NYK,2017,3.0,1.2,1.4,.311,.306,9.7,42
Marshall Plumlee,NYK,2017,1.9,0.5,2.4,,.533,8.1,21
Evan Fournier,ORL,2017,17.2,3.0,3.1,.356,.491,32.9,68
Terrence Ross,ORL,2017,12.5,1.8,2.8,.341,.523,31.2,24
Serge Ibaka,ORL,2017,15.1,1.1,6.8,.388,.532,30.5,56
Elfrid Payton,ORL,2017,12.8,6.5,4.7,.274,.509,29.4,82
Nikola Vučević,ORL,2017,14.6,2.8,10.4,.307,.481,28.8,75
Aaron Gordon,ORL,2017,12.7,1.9,5.1,.288,.528,28.7,80
Jeff Green,ORL,2017,9.2,1.2,3.1,.275,.458,22.2,69
Bismack Biyombo,ORL,2017,6.0,0.9,7.0,,.528,22.1,81
Jodie Meeks,ORL,2017,9.1,1.3,2.1,.409,.395,20.5,36
D.J. Augustin,ORL,2017,7.9,2.7,1.5,.347,.412,19.7,78
C.J. Watson,ORL,2017,4.5,1.8,1.4,.305,.448,16.3,62
Mario Hezonja,ORL,2017,4.9,1.0,2.2,.299,.398,14.8,65
Marcus Georges-Hunt,ORL,2017,2.8,0.6,1.8,.500,.200,9.6,5
Patricio Garino,ORL,2017,0.0,0.0,1.4,.000,.000,8.6,5
Anthony Brown,ORL,2017,4.5,1.0,3.5,.333,.500,8.0,2
Damjan Rudež,ORL,2017,1.8,0.4,0.6,.313,.458,7.0,45
Stephen Zimmerman,ORL,2017,1.2,0.2,1.8,,.323,5.7,19
C.J. Wilcox,ORL,2017,1.0,0.5,0.5,.200,.313,4.9,22
Arinze Onuaku,ORL,2017,0.5,0.3,0.8,,.500,3.5,8
Robert Covington,PHI,2017,12.9,1.5,6.5,.333,.484,31.6,67
Nik Stauskas,PHI,2017,9.5,2.4,2.8,.368,.433,27.4,80
Ersan İlyasova,PHI,2017,14.8,1.8,5.9,.359,.509,27.3,53
Dario Šarić,PHI,2017,12.8,2.2,6.3,.311,.469,26.3,81
T.J. McConnell,PHI,2017,6.9,6.6,3.1,.200,.492,26.3,81
Alex Poythress,PHI,2017,10.7,0.8,4.8,.316,.543,26.2,6
Joel Embiid,PHI,2017,20.2,2.1,7.8,.367,.495,25.4,31
Jerryd Bayless,PHI,2017,11.0,4.3,4.0,.400,.333,23.7,3
Gerald Henderson,PHI,2017,9.2,1.6,2.6,.353,.455,23.2,72
Jahlil Okafor,PHI,2017,11.8,1.2,4.8,,.514,22.7,50
Sergio Rodríguez,PHI,2017,7.8,5.1,2.3,.365,.415,22.3,68
Justin Anderson,PHI,2017,8.5,1.4,4.0,.292,.600,21.6,24
Richaun Holmes,PHI,2017,9.8,1.0,5.5,.351,.606,20.9,57
Jerami Grant,PHI,2017,8.0,0.0,3.0,.000,.400,20.5,2
Nerlens Noel,PHI,2017,8.9,1.0,5.0,.000,.615,19.4,29
Hollis Thompson,PHI,2017,5.5,0.8,2.7,.366,.455,18.1,31
Timothé Luwawu-Cabarrot,PHI,2017,6.4,1.1,2.2,.311,.475,17.2,69
Shawn Long,PHI,2017,8.2,0.7,4.7,.368,.600,13.0,18
Justin Harper,PHI,2017,4.0,0.7,1.7,.286,.600,10.3,3
Tiago Splitter,PHI,2017,4.9,0.5,2.8,.333,.480,9.5,8
Chasson Randle,PHI,2017,5.3,0.8,0.6,.400,.545,9.3,8
Brook Lopez,BRK,2017,20.5,2.3,5.4,.346,.536,29.6,75
Bojan Bogdanović,BRK,2017,14.2,1.6,3.6,.357,.509,26.9,55
Sean Kilpatrick,BRK,2017,13.1,2.2,4.0,.341,.468,25.1,70
Trevor Booker,BRK,2017,10.0,1.9,8.0,.321,.546,24.7,71
Jeremy Lin,BRK,2017,14.5,5.1,3.8,.372,.480,24.5,36
Spencer Dinwiddie,BRK,2017,7.3,3.1,2.8,.376,.478,22.6,59
Rondae Hollis-Jefferson,BRK,2017,8.7,2.0,5.8,.224,.463,22.6,78
Isaiah Whitehead,BRK,2017,7.4,2.6,2.5,.295,.446,22.5,73
Joe Harris,BRK,2017,8.2,1.0,2.8,.385,.489,21.9,52
Caris LeVert,BRK,2017,8.2,1.9,3.3,.321,.571,21.7,57
Randy Foye,BRK,2017,5.2,2.0,2.2,.330,.418,18.6,69
Justin Hamilton,BRK,2017,6.9,0.9,4.1,.306,.598,18.4,64
Quincy Acy,BRK,2017,6.5,0.6,3.3,.434,.414,15.9,32
Archie Goodwin,BRK,2017,7.9,1.9,2.3,.308,.625,15.3,12
Yogi Ferrell,BRK,2017,5.4,1.7,1.2,.296,.455,15.1,10
K.J. McDaniels,BRK,2017,6.3,0.5,2.6,.282,.565,14.7,20
Greivis Vásquez,BRK,2017,2.3,1.7,0.7,.333,.200,13.0,3
Luis Scola,BRK,2017,5.1,1.0,3.9,.340,.535,12.8,36
Anthony Bennett,BRK,2017,5.0,0.5,3.4,.271,.568,11.5,23
Andrew Nicholson,BRK,2017,3.0,0.3,2.7,.182,.478,11.1,10
Chris McCullough,BRK,2017,2.5,0.1,1.2,.167,.600,5.1,14
Klay Thompson,GSW,2017,22.3,2.1,3.7,.414,.516,34.0,78
Stephen Curry,GSW,2017,25.3,6.6,4.5,.411,.537,33.4,79
Kevin Durant,GSW,2017,25.1,4.8,8.3,.375,.608,33.4,62
Draymond Green,GSW,2017,10.2,7.0,7.9,.308,.494,32.5,76
Andre Iguodala,GSW,2017,7.6,3.4,4.0,.362,.651,26.3,76
Matt Barnes,GSW,2017,5.7,2.3,4.6,.346,.526,20.5,20
Zaza Pachulia,GSW,2017,6.1,1.9,5.9,.000,.538,18.1,70
Shaun Livingston,GSW,2017,5.1,1.8,2.0,.333,.550,17.7,76
Patrick McCaw,GSW,2017,4.0,1.1,1.4,.333,.533,15.1,71
Ian Clark,GSW,2017,6.8,1.2,1.6,.374,.556,14.8,77
David West,GSW,2017,4.6,2.2,3.0,.375,.541,12.6,68
JaVale McGee,GSW,2017,6.1,0.2,3.2,.000,.658,9.6,77
James Michael McAdoo,GSW,2017,2.8,0.3,1.8,.250,.550,8.8,52
Damian Jones,GSW,2017,1.9,0.0,2.3,,.500,8.5,10
Kevon Looney,GSW,2017,2.5,0.5,2.3,.222,.551,8.4,53
Anderson Varejão,GSW,2017,1.3,0.7,1.9,,.357,6.6,14
Briante Weber,GSW,2017,1.7,0.7,0.6,.000,.455,6.6,7
Kawhi Leonard,SAS,2017,25.5,3.5,5.8,.380,.529,33.4,74
LaMarcus Aldridge,SAS,2017,17.3,1.9,7.3,.411,.480,32.4,72
Danny Green,SAS,2017,7.3,1.8,3.3,.379,.420,26.6,68
Pau Gasol,SAS,2017,12.4,2.3,7.8,.538,.494,25.4,64
Tony Parker,SAS,2017,10.1,4.5,1.8,.333,.484,25.2,63
Patty Mills,SAS,2017,9.5,3.5,1.8,.414,.474,21.9,80
Manu Ginóbili,SAS,2017,7.5,2.7,2.3,.392,.387,18.7,69
David Lee,SAS,2017,7.3,1.6,5.6,,.590,18.7,79
Jonathon Simmons,SAS,2017,6.2,1.6,2.1,.294,.461,17.8,78
Dewayne Dedmon,SAS,2017,5.1,0.6,6.5,,.622,17.5,76
Kyle Anderson,SAS,2017,3.4,1.3,2.9,.375,.462,14.2,72
Dāvis Bertāns,SAS,2017,4.5,0.7,1.5,.399,.557,12.1,67
Nicolás Laprovíttola,SAS,2017,3.3,1.6,0.6,.370,.500,9.7,18
Dejounte Murray,SAS,2017,3.4,1.3,1.1,.391,.441,8.5,38
Bryn Forbes,SAS,2017,2.6,0.6,0.6,.321,.413,7.9,36
Joel Anthony,SAS,2017,1.3,0.2,1.6,,.625,6.4,19
James Harden,HOU,2017,29.1,11.2,8.1,.347,.530,36.4,81
Trevor Ariza,HOU,2017,11.7,2.2,5.7,.344,.556,34.7,80
Eric Gordon,HOU,2017,16.2,2.5,2.7,.372,.468,31.0,75
Patrick Beverley,HOU,2017,9.5,4.2,5.9,.382,.463,30.7,67
Ryan Anderson,HOU,2017,13.6,0.9,4.6,.403,.446,29.4,72
Lou Williams,HOU,2017,14.9,2.4,3.0,.318,.452,25.7,23
Clint Capela,HOU,2017,12.6,1.0,8.1,,.643,23.9,65
Troy Williams,HOU,2017,9.7,1.0,4.0,.381,.609,23.2,6
Sam Dekker,HOU,2017,6.5,1.0,3.7,.321,.591,18.4,77
Montrezl Harrell,HOU,2017,9.1,1.1,3.8,.143,.663,18.3,58
Nenê Hilário,HOU,2017,9.1,1.0,4.2,.333,.624,17.9,67
Corey Brewer,HOU,2017,4.2,1.1,2.0,.234,.541,15.9,58
Isaiah Taylor,HOU,2017,0.8,0.8,0.8,.000,.200,13.0,4
Chinanu Onuaku,HOU,2017,2.8,0.6,2.0,,.714,10.4,5
K.J. McDaniels,HOU,2017,2.8,0.1,1.0,.333,.537,7.3,29
Tyler Ennis,HOU,2017,1.9,1.1,0.6,.375,.396,6.3,31
Bobby Brown,HOU,2017,2.5,0.6,0.2,.400,.360,4.9,25
Kyle Wiltjer,HOU,2017,0.9,0.1,0.7,.308,.000,3.1,14
Blake Griffin,LAC,2017,21.6,4.9,8.1,.336,.514,34.0,61
DeAndre Jordan,LAC,2017,12.7,1.2,13.8,.000,.717,31.7,81
Chris Paul,LAC,2017,18.1,9.2,5.0,.411,.518,31.5,61
J.J. Redick,LAC,2017,15.0,1.4,2.2,.429,.462,28.2,78
Austin Rivers,LAC,2017,12.0,2.8,2.2,.371,.491,27.8,74
Jamal Crawford,LAC,2017,12.3,2.6,1.6,.360,.443,26.3,82
Luc Mbah a Moute,LAC,2017,6.1,0.5,2.1,.391,.552,22.3,80
Raymond Felton,LAC,2017,6.7,2.4,2.7,.319,.473,21.3,80
Marreese Speights,LAC,2017,8.7,0.8,4.5,.372,.520,15.7,82
Wesley Johnson,LAC,2017,2.7,0.3,2.7,.246,.537,11.9,68
Brandon Bass,LAC,2017,5.6,0.4,2.5,.333,.579,11.1,52
Paul Pierce,LAC,2017,3.2,0.4,1.9,.349,.481,11.1,25
Alan Anderson,LAC,2017,2.9,0.4,0.8,.318,.444,10.3,30
Diamond Stone,LAC,2017,1.4,0.0,0.9,,.231,3.4,7
Brice Johnson,LAC,2017,1.3,0.3,1.0,,.286,3.0,3
Gordon Hayward,UTA,2017,21.9,3.5,5.4,.398,.506,34.5,73
Rudy Gobert,UTA,2017,14.0,1.2,12.8,.000,.662,33.9,81
George Hill,UTA,2017,16.9,4.2,3.4,.403,.523,31.5,49
Rodney Hood,UTA,2017,12.7,1.6,3.4,.371,.440,27.0,59
Joe Ingles,UTA,2017,7.1,2.7,3.2,.441,.471,24.0,82
Derrick Favors,UTA,2017,9.5,1.1,6.1,.300,.491,23.7,50
Joe Johnson,UTA,2017,9.2,1.8,3.1,.411,.454,23.6,78
Shelvin Mack,UTA,2017,7.8,2.8,2.3,.308,.510,21.9,55
Dante Exum,UTA,2017,6.2,1.7,2.0,.295,.519,18.6,66
Boris Diaw,UTA,2017,4.6,2.3,2.2,.247,.512,17.6,73
Trey Lyles,UTA,2017,6.2,1.0,3.3,.319,.400,16.3,71
Alec Burks,UTA,2017,6.7,0.7,2.9,.329,.430,15.5,42
Raul Neto,UTA,2017,2.5,0.9,0.8,.323,.517,8.7,40
Jeff Withey,UTA,2017,2.9,0.1,2.4,.000,.539,8.5,51
Joel Bolomboy,UTA,2017,1.8,0.2,1.4,.250,.667,4.4,12
Russell Westbrook,OKC,2017,31.6,10.4,10.7,.343,.459,34.6,81
Victor Oladipo,OKC,2017,15.9,2.6,4.3,.361,.491,33.2,67
