name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
Isaiah Thomas,BOS,2017,28.9,5.9,2.7,.379,.528,33.8,76
Avery Bradley,BOS,2017,16.3,2.2,6.1,.390,.504,33.4,55
Jae Crowder,BOS,2017,13.9,2.2,5.8,.398,.540,32.4,72
Al Horford,BOS,2017,14.0,5.0,6.8,.355,.524,32.3,68
Marcus Smart,BOS,2017,10.6,4.6,3.9,.283,.420,30.4,79
Kelly Olynyk,BOS,2017,9.0,2.0,4.8,.354,.608,20.5,75
Amir Johnson,BOS,2017,6.5,1.8,4.6,.409,.612,20.1,80
Jaylen Brown,BOS,2017,6.6,0.8,2.8,.341,.507,17.2,78
Terry Rozier,BOS,2017,5.5,1.8,3.1,.318,.405,17.1,74
Jonas Jerebko,BOS,2017,3.8,0.9,3.5,.346,.523,15.8,78
Gerald Green,BOS,2017,5.6,0.7,1.8,.351,.463,11.4,47
Tyler Zeller,BOS,2017,3.5,0.8,2.4,.000,.497,10.3,51
James Young,BOS,2017,2.3,0.1,0.9,.343,.565,7.6,29
Jordan Mickey,BOS,2017,1.5,0.3,1.4,.000,.455,5.6,25
Demetrius Jackson,BOS,2017,2.0,0.6,0.8,1.000,.667,3.4,5
LeBron James,CLE,2017,26.4,8.7,8.6,.363,.611,37.8,74
Kyrie Irving,CLE,2017,25.2,5.8,3.2,.401,.505,35.1,72
Kevin Love,CLE,2017,19.0,1.9,11.1,.373,.471,31.4,60
Tristan Thompson,CLE,2017,8.1,1.0,9.2,.000,.604,29.9,78
J.R. Smith,CLE,2017,8.6,1.5,2.8,.351,.329,29.0,41
Iman Shumpert,CLE,2017,7.5,1.4,2.9,.360,.469,25.5,76
Kyle Korver,CLE,2017,10.7,1.0,2.8,.485,.493,24.5,35
Edy Tavares,CLE,2017,6.0,1.0,10.0,,.750,24.0,1
Richard Jefferson,CLE,2017,5.7,1.0,2.6,.333,.580,20.4,79
Deron Williams,CLE,2017,7.5,3.6,1.9,.415,.489,20.3,24
Channing Frye,CLE,2017,9.1,0.6,3.9,.409,.546,18.9,74
Derrick Williams,CLE,2017,6.2,0.6,2.3,.404,.600,17.1,25
Mike Dunleavy,CLE,2017,4.6,0.9,2.0,.351,.485,15.9,23
DeAndre Liggins,CLE,2017,2.4,0.9,1.7,.378,.385,12.3,61
Dahntay Jones,CLE,2017,9.0,1.0,2.0,.000,.500,12.0,1
Jordan McRae,CLE,2017,4.4,0.5,1.1,.353,.404,10.4,37
Chris Andersen,CLE,2017,2.3,0.4,2.6,.000,.474,9.5,12
Kay Felder,CLE,2017,4.0,1.4,1.0,.318,.404,9.2,42
James Jones,CLE,2017,2.8,0.3,0.8,.470,.500,7.9,48
Larry Sanders,CLE,2017,0.8,0.0,0.8,,.250,2.6,5
