name,team,year,ppg,apg,rpg,3p%,2p%,mp,gp
Dahntay Jones,CLE,2016,13.0,2.0,5.0,.500,.417,42.0,1
LeBron James,CLE,2016,25.3,6.8,7.4,.309,.573,35.6,76
Kyrie Irving,CLE,2016,19.6,4.7,3.0,.321,.502,31.5,53
Kevin Love,CLE,2016,16.0,2.4,9.9,.360,.467,31.5,77
J.R. Smith,CLE,2016,12.4,1.7,2.8,.400,.438,30.7,77
Tristan Thompson,CLE,2016,7.8,0.8,9.0,,.588,27.7,82
Matthew Dellavedova,CLE,2016,7.5,4.4,2.1,.410,.401,24.6,76
Iman Shumpert,CLE,2016,5.8,1.7,3.8,.295,.447,24.4,54
Mo Williams,CLE,2016,8.2,2.4,1.8,.353,.480,18.2,41
Richard Jefferson,CLE,2016,5.5,0.8,1.7,.382,.554,17.9,74
Timofey Mozgov,CLE,2016,6.3,0.4,4.4,.143,.574,17.4,76
Channing Frye,CLE,2016,7.5,1.0,3.6,.377,.596,17.2,26
Anderson Varejão,CLE,2016,2.6,0.6,2.9,.000,.427,10.0,31
James Jones,CLE,2016,3.7,0.3,1.0,.394,.447,9.6,48
Jared Cunningham,CLE,2016,2.6,0.5,0.7,.313,.373,8.9,40
Jordan McRae,CLE,2016,4.1,1.0,0.8,.636,.390,7.5,15
Sasha Kaun,CLE,2016,0.9,0.1,1.0,,.529,3.8,25
Joe Harris,CLE,2016,0.6,0.4,0.6,.250,,3.0,5
Kyle Lowry,TOR,2016,21.2,6.4,4.7,.388,.461,37.0,77
DeMar DeRozan,TOR,2016,23.5,4.0,4.5,.338,.458,35.9,78
DeMarre Carroll,TOR,2016,11.0,1.0,4.7,.390,.388,30.2,26
Jonas Valančiūnas,TOR,2016,12.8,0.7,9.1,,.565,26.0,60
Cory Joseph,TOR,2016,8.5,3.1,2.6,.273,.478,25.6,80
Patrick Patterson,TOR,2016,6.9,1.2,4.3,.362,.490,25.6,79
Terrence Ross,TOR,2016,9.9,0.8,2.5,.386,.484,23.9,73
Bismack Biyombo,TOR,2016,5.5,0.4,8.0,.000,.544,22.0,82
Luis Scola,TOR,2016,8.7,0.9,4.7,.404,.467,21.5,76
James Johnson,TOR,2016,5.0,1.2,2.2,.303,.540,16.2,57
Jason Thompson,TOR,2016,4.6,0.5,4.2,.333,.529,15.4,19
Norman Powell,TOR,2016,5.6,1.0,2.3,.404,.436,14.8,49
Delon Wright,TOR,2016,3.8,1.1,1.4,.385,.463,8.5,27
Lucas Nogueira,TOR,2016,2.2,0.2,1.6,.333,.659,7.8,29
Bruno Caboclo,TOR,2016,0.5,0.2,0.3,.143,.000,7.2,6
Anthony Bennett,TOR,2016,1.5,0.0,1.2,.214,.385,4.4,19
Chris Bosh,MIA,2016,19.1,2.4,7.4,.365,.508,33.5,53
Goran Dragić,MIA,2016,14.1,5.8,3.8,.312,.527,32.8,72
Luol Deng,MIA,2016,12.3,1.9,6.0,.344,.513,32.4,74
Joe Johnson,MIA,2016,13.4,3.6,2.8,.417,.569,32.0,24
Dwyane Wade,MIA,2016,19.0,4.6,4.1,.159,.468,30.5,74
Hassan Whiteside,MIA,2016,14.2,0.4,11.8,,.606,29.1,73
Justise Winslow,MIA,2016,6.4,1.5,5.2,.276,.471,28.6,78
Tyler Johnson,MIA,2016,8.7,2.2,3.0,.380,.529,24.0,36
Gerald Green,MIA,2016,8.9,0.8,2.4,.323,.446,22.6,69
Josh Richardson,MIA,2016,6.6,1.4,2.1,.461,.446,21.3,52
Mario Chalmers,MIA,2016,5.5,3.2,2.3,.091,.429,20.0,6
Beno Udrih,MIA,2016,4.4,2.5,1.8,.333,.462,16.3,36
Amar'e Stoudemire,MIA,2016,5.8,0.5,4.3,,.566,14.7,52
Josh McRoberts,MIA,2016,3.6,1.9,2.5,.245,.434,14.2,42
Udonis Haslem,MIA,2016,1.6,0.4,2.0,.111,.423,7.0,37
Chris Andersen,MIA,2016,1.9,0.4,1.3,.400,.400,5.1,7
Briante Weber,MIA,2016,2.0,1.0,1.0,,1.000,3.0,1
Jarnell Stokes,MIA,2016,1.4,0.2,0.4,,.600,2.8,5
James Ennis,MIA,2016,0.0,0.3,0.0,,,2.3,3
Paul Millsap,ATL,2016,17.1,3.3,9.0,.319,.512,32.7,81
Al Horford,ATL,2016,15.2,3.2,7.3,.344,.557,32.1,82
Kyle Korver,ATL,2016,9.2,2.1,3.3,.398,.502,30.0,80
Jeff Teague,ATL,2016,15.7,5.9,2.7,.400,.454,28.5,79
Kent Bazemore,ATL,2016,11.6,2.3,5.1,.357,.502,27.8,75
Thabo Sefolosha,ATL,2016,6.4,1.4,4.5,.339,.589,23.4,75
Dennis Schröder,ATL,2016,11.0,4.4,2.6,.322,.465,20.3,80
Tim Hardaway,ATL,2016,6.4,1.0,1.7,.338,.537,16.9,51
Tiago Splitter,ATL,2016,5.6,0.8,3.3,.000,.529,16.1,36
Mike Scott,ATL,2016,6.2,1.0,2.7,.392,.523,15.3,75
Kris Humphries,ATL,2016,6.4,0.6,3.4,.258,.557,14.0,21
Lamar Patterson,ATL,2016,2.4,1.1,1.4,.245,.516,11.3,35
Justin Holiday,ATL,2016,2.4,0.4,1.0,.222,.500,10.1,26
Mike Muscala,ATL,2016,3.3,0.6,2.0,.308,.566,9.4,60
Shelvin Mack,ATL,2016,3.9,1.6,0.9,.148,.529,7.5,24
Kirk Hinrich,ATL,2016,0.5,1.3,1.1,.167,.200,6.9,11
Edy Tavares,ATL,2016,2.3,0.3,1.9,,.579,6.6,11
Avery Bradley,BOS,2016,15.2,2.1,2.9,.361,.505,33.4,76
Isaiah Thomas,BOS,2016,22.2,6.2,3.0,.359,.462,32.2,82
Jae Crowder,BOS,2016,14.2,1.8,5.1,.336,.529,31.6,73
